q,a
"Среднегодовая многолетняя температура воздуха составляет +4,2 °С.",Среднегодовая многолетняя температура воздуха составляет четыре целых две десятых °С.
"Занимает площадь 7,08 км².",Занимает площадь семи целых восьми сотых км².
Чешская часть охраняла железнодорожный мост через р.,Чешская часть охраняла железнодорожный мост через р.
"Водобродки мелкого размера (около 1,65 мм), удлинённой формы.","Водобродки мелкого размера (около одной целой шестидесяти пяти сотых мм), удлинённой формы."
"Площадь муниципалитета составляет 10,59 км².",Площадь муниципалитета составляет десяти целых пятидесяти девяти сотых км².
"Занимает площадь 8,93 км².",Занимает площадь восьми целых девяноста трёх сотых км².
"Занимает площадь 8,21 км².",Занимает площадь восьми целых двадцати одной сотой км².
"Занимает площадь 2,94 км².",Занимает площадь двух целых девяноста четырёх сотых км².
"Рядом проходит железная дорога, станция Ярчовцы в 0,5 км.","Рядом проходит железная дорога, станция Ярчовцы в ноль целых пять десятых км."
Никольское.,Никольское.
"Листья очерёдные, линейные, сидячие, цельнокрайные, туповатые 0,5-1,5 см длины, согнутые, покрытые длинными отстоящими волосками.","Листья очерёдные, линейные, сидячие, цельнокрайные, туповатые ноль целых пять десятых-одна целая пять десятых см длины, согнутые, покрытые длинными отстоящими волосками."
"А затем медленно с осторожностью по 0,25 таблетки до полного исключения препарата.",А затем медленно с осторожностью по нолю целых двадцати пяти сотых таблетки до полного исключения препарата.
"Занимает площадь 31,91 км².",Занимает площадь тридцати одной целой девяноста одной сотой км².
"Занимает площадь 0,102 км².",Занимает площадь ноля целых сто двух тысячных км².
"Среднегодовая температура — 2,5 — 2,8 °C.",Среднегодовая температура — две целых пять десятых — две целых восемь десятых °C.
"Мохаммед получил почти 5,5 млн долларов, что было больше, чем заработали Джо Луис, Рокки Марчиано и Джек Демпси за всю свою карьеру.","Мохаммед получил почти пять целых пять десятых млн долларов, что было больше, чем заработали Джо Луис, Рокки Марчиано и Джек Демпси за всю свою карьеру."
"В итоге победителем торгов стал владелец NFL «Индианаполис Колтс» Джим Ирсей, сделавший ставку в 6,18 млн долларов.","В итоге победителем торгов стал владелец NFL «Индианаполис Колтс» Джим Ирсей, сделавший ставку в шесть целых восемнадцать сотых млн долларов."
"Площадь — 51,2 тысячи км².",Площадь — пятьдесят одна целая две десятых тысячи км².
"Среди национальных меньшинств в стране проживало 0,2 % черногорцев, 0,2 % цыган, 0,1 % албанцев, 0,1 % украинцев, 0,1 % словенцев и 0,1 % македонцев.","Среди национальных меньшинств в стране проживало ноль целых две десятых % черногорцев, ноль целых две десятых % цыган, ноль целых одна десятая % албанцев, ноль целых одна десятая % украинцев, ноль целых одна десятая % словенцев и ноль целых одна десятая % македонцев."
Низкая инфляция (1.4 %).,Низкая инфляция (одна целая четыре десятых %).
"Страны ЕС — 64,0 % (10,7 млрд долларов);",Страны ЕС — шестьдесят четыре целых ноль десятых % (десять целых семь десятых млрд долларов);
"Россия — 5,5 % (0,9 млрд долларов);",Россия — пять целых пять десятых % (ноль целых девять десятых млрд долларов);
"Китай — 5,5 % (0,9 млрд долларов);",Китай — пять целых пять десятых % (ноль целых девять десятых млрд долларов);
"Турция — 3,3 % (0,6 млрд долларов);",Турция — три целых три десятых % (ноль целых шесть десятых млрд долларов);
"Страны Америки — 3,3 % (0,6 млрд долларов);",Страны Америки — три целых три десятых % (ноль целых шесть десятых млрд долларов);
"Страны Африки — 0,8 % (0,1 млрд долларов).",Страны Африки — ноль целых восемь десятых % (ноль целых одна десятая млрд долларов).
"Шестиполосная ШМСД общей протяженностью 27,4 км начнется от ЗСД и пройдет внутри промышленного пояса южной планировочной зоны вдоль северного железнодорожного полукольца до примыкания к КАД севернее города Кудрово (Ленобласть), далее проследует до пересечения с Мурманским шоссе (федеральная трасса «Кола»).","Шестиполосная ШМСД общей протяженностью двадцати семи целых четырёх десятых км начнется от ЗСД и пройдет внутри промышленного пояса южной планировочной зоны вдоль северного железнодорожного полукольца до примыкания к КАД севернее города Кудрово (Ленобласть), далее проследует до пересечения с Мурманским шоссе (федеральная трасса «Кола»)."
"Среднегодовая температура воздуха — +3,2 °C.",Среднегодовая температура воздуха — три целых две десятых °C.
"Среднегодовая скорость ветра — 4,7 м/с.",Среднегодовая скорость ветра — четыре целых семь десятых м/с.
"Среднегодовая многолетняя температура воздуха составляет +3,7 — +4,2 °С.",Среднегодовая многолетняя температура воздуха составляет три целых семь десятых — четыре целых две десятых °С.
"Скорость их колеблется в пределах от 3,2 до 4,8 м/с.",Скорость их колеблется в пределах от трёх целых двух десятых до четырёх целых восьми десятых м/с.
"По всему миру альбом Blackout был продан в количестве 3,6 млн копий.",По всему миру альбом Blackout был продан в количестве три целых шесть десятых млн копий.
"Финальное выступление принесло 1,172 миллиона долларов, установив новый кассовый рекорд для одного шоу в Лас-Вегасе и побив рекорд, ранее принадлежавший Дженнифер Лопес.","Финальное выступление принесло одна целая сто семьдесят две тысячных миллиона долларов, установив новый кассовый рекорд для одного шоу в Лас-Вегасе и побив рекорд, ранее принадлежавший Дженнифер Лопес."
"Во всём мире Спирс продала более миллиона флаконов за первые пять лет, а валовая выручка составила 1,5 миллиарда долларов.","Во всём мире Спирс продала более миллиона флаконов за первые пять лет, а валовая выручка составила одна целая пять десятых миллиарда долларов."
"Эпизод собрал 4,53 миллиона зрителей у телеэкранов США.",Эпизод собрал четыре целых пятьдесят три сотых миллиона зрителей у телеэкранов США.
"Масса танка составляла 11,8 тонн.",Масса танка составляла одиннадцати целых восьми десятых тонн.
2406.01 Биоакустика (коммуникация и локация в воздушных и водной средах),две тысяча четыреста шесть целых одна сотая Биоакустика (коммуникация и локация в воздушных и водной средах)
"2406.02 Биоэлектричество (мембранный потенциал, информационные и интегральные процессы, ЦНС и ВНС)","две тысяча четыреста шесть целых две сотых Биоэлектричество (мембранный потенциал, информационные и интегральные процессы, ЦНС и ВНС)"
2406.03 Биоэнергетика (энергообеспечение и теплопродукция),две тысяча четыреста шесть целых три сотых Биоэнергетика (энергообеспечение и теплопродукция)
2406.04 Биомеханика,две тысяча четыреста шесть целых четыре сотых Биомеханика
"2406.05 Биооптика (биолюминесценция, зрение и обработка информации)","две тысяча четыреста шесть целых пять сотых Биооптика (биолюминесценция, зрение и обработка информации)"
"2406.06 Медицинская физика (методы диагностики, физиотерапии и патогенез)","две тысяча четыреста шесть целых шесть сотых Медицинская физика (методы диагностики, физиотерапии и патогенез)"
"2406.99 ПрочиеПриведённая выше классификация основана на принципе структурной организации объектов и предназначена для максимально удобства изложения новых разработок, одновременно демонстрируя проблемы авангардных направлений и затруднения в формировании и развитии значимых тем и направлений.","две тысяча четыреста шесть целых девяносто девять сотых ПрочиеПриведённая выше классификация основана на принципе структурной организации объектов и предназначена для максимально удобства изложения новых разработок, одновременно демонстрируя проблемы авангардных направлений и затруднения в формировании и развитии значимых тем и направлений."
"При применении таблицы стилей XSLT, состоящей из набора шаблонов, к XML-документу (исходное дерево) образуется конечное дерево, которое может быть сериализовано в виде XML-документа, XHTML-документа (только для XSLT 2.0), HTML-документа или простого текстового файла.","При применении таблицы стилей XSLT, состоящей из набора шаблонов, к XML-документу (исходное дерево) образуется конечное дерево, которое может быть сериализовано в виде XML-документа, XHTML-документа (только для XSLT две целых ноль десятых), HTML-документа или простого текстового файла."
XSLT 1.0.,XSLT одна целая ноль десятых.
XSLT 3.0.,XSLT три целых ноль десятых.
"Занимает площадь 38,00 км².",Занимает площадь тридцати восьми целых ноля сотых км².
"Среднегодовая многолетняя температура воздуха составляет 3,6 — 3,8 °С.",Среднегодовая многолетняя температура воздуха составляет три целых шесть десятых — три целых восемь десятых °С.
"Крупнейшими акционерами China Nuclear Engineering Corporation являются SASAC (61,8 %), China Cinda Asset Management (11,8 %), GF Fund Management (1,44 %) и China International Capital Corporation (0,6 %);","Крупнейшими акционерами China Nuclear Engineering Corporation являются SASAC (шестьдесят одна целая восемь десятых %), China Cinda Asset Management (одиннадцать целых восемь десятых %), GF Fund Management (одна целая сорок четыре сотых %) и China International Capital Corporation (ноль целых шесть десятых %);"
"26,15 % акций компании находятся в свободном обращении на фондовой бирже.",двадцать шесть целых пятнадцать сотых % акций компании находятся в свободном обращении на фондовой бирже.
"Среднегодовая температура воздуха — 4,1 °C.",Среднегодовая температура воздуха — четыре целых одна десятая °C.
"По официальным данным ЦИК республики, явка избирателей на выборах составила 85,7 %.","По официальным данным ЦИК республики, явка избирателей на выборах составила восемьдесят пять целых семь десятых %."
"Занимает площадь 1,66 км².",Занимает площадь одной целой шестидесяти шести сотых км².
"Занимает площадь 177,150 км².",Занимает площадь сто семидесяти семи целых сто пятидесяти тысячных км².
"Плотность населения — 49,7 чел./км².",Плотность населения — сорок девять целых семь десятых чел./км².
"99,2 % — этнические грузины.",девяносто девять целых две десятых % — этнические грузины.
"Село Дашковка находится в 4,5 км от левого берега дельты реки Ворскла.",Село Дашковка находится в четыре целых пять десятых км от левого берега дельты реки Ворскла.
"На расстоянии в 1,5 км расположено село Шевченки.",На расстоянии в одну целую пять десятых км расположено село Шевченки.
"Среднегодовая температура воздуха — 1,9 °C.",Среднегодовая температура воздуха — одна целая девять десятых °C.
"Среднегодовая температура воздуха — 2,2 °C.",Среднегодовая температура воздуха — две целых две десятых °C.
"Потери французов — около 1,5 тысяч.",Потери французов — около одной целой пяти десятых тысяч.
"Среднегодовая температура воздуха — +3,5 °C.",Среднегодовая температура воздуха — три целых пять десятых °C.
"Среднегодовая скорость ветра — 4,7 м/с.",Среднегодовая скорость ветра — четыре целых семь десятых м/с.
"(Drools, Apache license 2.0)","(Drools, Apache license две целых ноль десятых)"
"(Apache Jena, Apache License 2.0)","(Apache Jena, Apache License две целых ноль десятых)"
"(RDFSharp, Apache License 2.0)","(RDFSharp, Apache License две целых ноль десятых)"
Inference using OWL 2.0 Semantics by Craig Trim (IBM).,Inference using OWL 2.0 Semantics by Craig Trim (IBM).
"Самый холодный месяц - январь (со средней температурой  -24,8 градусов).",Самый холодный месяц - январь (со средней температурой  -двадцать четыре целых восемь десятых градусов).
"Самый теплый месяц - июль (со средней температурой +18,7 градусов).",Самый теплый месяц - июль (со средней температурой восемнадцати целых семи десятых градусов).
Журнал « Азербайджанское Нефтяное Хозяйство» (АНХ) Qəbul edilib 11.2011.,Журнал « Азербайджанское Нефтяное Хозяйство» (АНХ) Qəbul edilib одиннадцать целых две тысяча одиннадцать десятитысячных.
01.2012.,одна целая две тысяча двенадцать десятитысячных.
"Среднегодовая температура воздуха — 4,5 °С.",Среднегодовая температура воздуха — четыре целых пять десятых °С.
"Занимает площадь 20,26 км².",Занимает площадь двадцати целых двадцати шести сотых км².
"Располагается на высоте 107,3 метров над уровнем моря.",Располагается на высоте сто семи целых трёх десятых метров над уровнем моря.
"Площадь общины составляет 6,03 км².",Площадь общины составляет шести целых трёх сотых км².
"Среднегодовая температура воздуха — 5,5 °C.",Среднегодовая температура воздуха — пять целых пять десятых °C.
Крунстад (23.992),Крунстад (двадцать три целых девятьсот девяносто две тысячных)
Маокенг (67.929),Маокенг (шестьдесят семь целых девятьсот двадцать девять тысячных)
Матлвангванг (6.441),Матлвангванг (шесть целых четыреста сорок одна тысячная)
Раммулутси (24.578),Раммулутси (двадцать четыре целых пятьсот семьдесят восемь тысячных)
Стейнсрюс (1.192),Стейнсрюс (одна целая сто девяносто две тысячных)
Вал-Рефс-Майн (5.050),Вал-Рефс-Майн (пять целых пятьдесят тысячных)
Фильюнскрун (2.514),Фильюнскрун (две целых пятьсот четырнадцать тысячных)
"Занимает площадь 35,72 км².",Занимает площадь тридцати пяти целых семидесяти двух сотых км².
Мариацелль (643.71 га),Мариацелль (шестьсот сорок три целых семьдесят одна сотая га)
Санкт-Зебастиан (4742.16 га),Санкт-Зебастиан (четыре тысяча семьсот сорок две целых шестнадцать сотых га)
"Среднегодовая многолетняя температура воздуха составляет 4,2 °С.",Среднегодовая многолетняя температура воздуха составляет четыре целых две десятых °С.
"В расовом отношении белые и метисы составляли 90,9 % от населения города; негры, мулаты и райсальцы — 8,8 %, индейцы — 0,3 %.","В расовом отношении белые и метисы составляли девяносто целых девять десятых % от населения города; негры, мулаты и райсальцы — восемь целых восемь десятых %, индейцы — ноль целых три десятых %."
"Уровень грамотности среди всего населения составлял 72,3 %.",Уровень грамотности среди всего населения составлял семьдесят две целых три десятых %.
"58,1 % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, 38,2 % — предприятия сферы обслуживания, 2,6 % — промышленные предприятия, 1,1 % — предприятия иных отраслей экономики.","пятьдесят восемь целых одна десятая % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, тридцать восемь целых две десятых % — предприятия сферы обслуживания, две целых шесть десятых % — промышленные предприятия, одна целая одна десятая % — предприятия иных отраслей экономики."
"Расположен на острове Санта-Мария, занимает площадь 18,49 км².","Расположен на острове Санта-Мария, занимает площадь восемнадцати целых сорока девяти сотых км²."
"Средняя годовая скорость ветра — 4,9 м/с.",Средняя годовая скорость ветра — четыре целых девять десятых м/с.
"Вшивков А. А. Исследования в области 1,9- и 1,10-дикетонов и отвечающих им двутретичных гликолей.","Вшивков А. А. Исследования в области одну целую девять десятых- и 1,10-дикетонов и отвечающих им двутретичных гликолей."
"Среднегодовая температура воздуха — 2,6 °C.",Среднегодовая температура воздуха — две целых шесть десятых °C.
"Болотные массивы (7,3 тыс. га) Парка представлены практически всеми типами.",Болотные массивы (семь целых три десятых тыс. га) Парка представлены практически всеми типами.
"Участки лесоболотных комплексов — 7,3 тыс. га",Участки лесоболотных комплексов — семь целых три десятых тыс. га
"AZUR Air — 266,2 тыс. пассажиров;",AZUR Air — двести шестьдесят шесть целых две десятых тыс. пассажиров;
"S7 — 249,3 тыс. пассажиров;",S7 — двести сорок девять целых три десятых тыс. пассажиров;
"Авиакомпания Smartavia — 132,1 тыс. пассажиров.",Авиакомпания Smartavia — сто тридцать две целых одна десятая тыс. пассажиров.
"в США — 9,7 тыс. человек.",в США — девять целых семь десятых тыс. человек.
"в Азербайджане — 8,4 тыс. человек.",в Азербайджане — восемь целых четыре десятых тыс. человек.
"УрбанизацияГородское население (посёлок городского типа Одоев) составляет  45,73 % от всего населения района.",УрбанизацияГородское население (посёлок городского типа Одоев) составляет  сорок пять целых семьдесят три сотых % от всего населения района.
"Занимает площадь 0,63 км².",Занимает площадь ноля целых шестидесяти трёх сотых км².
"Занимает площадь 119,8 км².",Занимает площадь сто девятнадцати целых восьми десятых км².
"Среди других акционеров Bank of China — National Council for Social Security Fund (2,55 %), BlackRock, Inc.","Среди других акционеров Bank of China — National Council for Social Security Fund (две целых пятьдесят пять сотых %), BlackRock, Inc."
"(2,03 %) и JPMorgan Chase & Co. (2,38 %).",(две целых три сотых %) и JPMorgan Chase & Co. (две целых тридцать восемь сотых %).
"Размер активов на хранении в депозитариях 11,79 трлн юаней ($1,8 трлн).",Размер активов на хранении в депозитариях одиннадцать целых семьдесят девять сотых трлн юаней ($одна целая восемь десятых трлн).
"Размер принятых депозитов составил 16,9 трлн юаней (из них 8,8 трлн корпоративные).",Размер принятых депозитов составил шестнадцать целых девять десятых трлн юаней (из них восемь целых восемь десятых трлн корпоративные).
"Alasjärvi) — бывший финский остановочный пункт (ранее — пункт примыкания) на 90,0 км перегона Бородинское — Хийтола линии Выборг — Хийтола.",Alasjärvi) — бывший финский остановочный пункт (ранее — пункт примыкания) на девяноста целых ноля десятых км перегона Бородинское — Хийтола линии Выборг — Хийтола.
"Плотность населения — 17,25 чел./км².",Плотность населения — семнадцать целых двадцать пять сотых чел./км².
-63.3).,-шестьдесят три целых три десятых).
"Занимает площадь 0,67 км².",Занимает площадь ноля целых шестидесяти семи сотых км².
"Среднегодовая температура воздуха — +0,1…+0,2 °C.",Среднегодовая температура воздуха — ноль целых одна десятая…ноль целых две десятых °C.
"Его масса составляет 1,35 масс Солнца, что почти максимально допустимо для объектов этого типа, так как его масса близка к пределу Чандрасекара.","Его масса составляет одной целой тридцати пяти сотых масс Солнца, что почти максимально допустимо для объектов этого типа, так как его масса близка к пределу Чандрасекара."
"Занимает площадь 15,32 км².",Занимает площадь пятнадцати целых тридцати двух сотых км².
"Мелкие нелетающие жуки-долгоносики, длина от 2,37 до 2,85 мм; в основном чёрного цвета, надкрылья оранжево-красные, апикально чёрные.","Мелкие нелетающие жуки-долгоносики, длина от двух целых тридцати семи сотых до двух целых восьмидесяти пяти сотых мм; в основном чёрного цвета, надкрылья оранжево-красные, апикально чёрные."
"Сингл разошёлся тиражом более миллиона копий в Великобритании и более 2,5 миллиона копий по всему миру.",Сингл разошёлся тиражом более миллиона копий в Великобритании и более две целых пять десятых миллиона копий по всему миру.
"Занимает площадь 0,201 км².",Занимает площадь ноля целых двухсот одной тысячной км².
"Плотность населения составляет 88,7 чел./км².",Плотность населения составляет восьмидесяти восьми целых семи десятых чел./км².
"Муниципальный аэропорт Уошберн (англ. Washburn Municipal Airport), (FAA LID: 5C8) — государственный гражданский аэропорт, расположенный в 6,5 километрах к северу от центрального делового района города Уошберн (Северная Дакота), США.","Муниципальный аэропорт Уошберн (англ. Washburn Municipal Airport), (FAA LID: 5C8) — государственный гражданский аэропорт, расположенный в шесть целых пять десятых километрах к северу от центрального делового района города Уошберн (Северная Дакота), США."
"Среднегодовая температура — 5,1 °C.",Среднегодовая температура — пять целых одна десятая °C.
"{\displaystyle m_{s}\in \mathbb {F} _{q^{N}},s=1,2,...,k}","{\displaystyle m_{s}\in \mathbb {F} _{q^{N}},s=1,2,...,k}"
"{\displaystyle (n,n-1,2)}","{\displaystyle (n,n-одна целая две десятых)}"
— ISIT.2006.261627,— ISIT.2006.261627
"Скульптура вождя высотой 5,5 м. отлита из бронзы ленинградским заводом Монумент-скульптура.",Скульптура вождя высотой пяти целых пяти десятых м. отлита из бронзы ленинградским заводом Монумент-скульптура.
"Памятник Ленина был установлен на полированном пьедестале из красного украинского гранита высотой 6,5 метров.",Памятник Ленина был установлен на полированном пьедестале из красного украинского гранита высотой шести целых пяти десятых метров.
"Занимает площадь 1,74 км².",Занимает площадь одной целой семидесяти четырёх сотых км².
"Занимает площадь 23,66 км².",Занимает площадь двадцати трёх целых шестидесяти шести сотых км².
Начиная с версии 2.0.3 OpenOffice.org врожденно поставляется с OpenThesaurus.,Начиная с версии 2.0.3 OpenOffice.org врожденно поставляется с OpenThesaurus.
"Проект приобрел большую популярность после появления Apple Dictionary в Mac OS X 10.5, который может интегрировать данные OpenThesaurus через плагин.","Проект приобрел большую популярность после появления Apple Dictionary в Mac OS X десять целых пять десятых, который может интегрировать данные OpenThesaurus через плагин."
"Орбитальный период — около 1,837 суток.",Орбитальный период — около одной целой восьмисот тридцати семи тысячных суток.
Первый компонент — бело-голубая звезда спектрального класса B9 или B7V.,Первый компонент — бело-голубая звезда спектрального класса B9 или B7V.
"Светимость — около 136,36 солнечных.",Светимость — около сто тридцать шесть целых тридцать шесть сотых солнечных.
"Удалён на 0,2 угловой секунды.",Удалён на ноль целых две десятых угловой секунды.
"УрбанизацияГородское население (пгт Мыс Шмидта и Эгвекинот) составляет 62,53 % от всего населения района (округа).",УрбанизацияГородское население (пгт Мыс Шмидта и Эгвекинот) составляет шестьдесят две целых пятьдесят три сотых % от всего населения района (округа).
"Эль-Джауф практически не получает осадков, в среднем здесь выпадает лишь 2,5 мм в год.","Эль-Джауф практически не получает осадков, в среднем здесь выпадает лишь две целых пять десятых мм в год."
"Средняя температура летом равняется 37,8° С.",Средняя температура летом равняется тридцать семь целых восемь десятых° С.
"Расход воды — 1,8 м³/с.",Расход воды — одна целая восемь десятых м³/с.
Используется для орошения.,Используется для орошения.
"Среднегодовая температура воздуха — +3,2 °C.",Среднегодовая температура воздуха — три целых две десятых °C.
"Общая мощность ГЭС каскада — 25,36 МВт.",Общая мощность ГЭС каскада — двадцать пять целых тридцать шесть сотых МВт.
"Среднегодовая температура воздуха — +2,3 °C.",Среднегодовая температура воздуха — две целых три десятых °C.
"Занимает площадь 6,81 км².",Занимает площадь шести целых восьмидесяти одной сотой км².
"Имеет массу 1,72 MJ и радиус 1,34 RJ.",Имеет массу одну целую семьдесят две сотых MJ и радиус одна целая тридцать четыре сотых RJ.
"Орбита имеет форму близкую к круговой (эксцентриситет — 0,0024).",Орбита имеет форму близкую к круговой (эксцентриситет — ноль целых двадцать четыре десятитысячных).
"Мио́з (miosis: др.-греч. μείωσις — уменьшение, убыль) — сужение зрачка (диаметр менее 2,5 мм).","Мио́з (miosis: др.-греч. μείωσις — уменьшение, убыль) — сужение зрачка (диаметр менее двух целых пяти десятых мм)."
"Корабли были 80,1 м в длину, ширину 8,4 м и осадку 4,6 м.","Корабли были восемьдесят целых одна десятая м в длину, ширину восьми целых четырёх десятых м и осадку четырёх целых шести десятых м."
"Напряжение ядра: 1,6 В",Напряжение ядра: одна целая шесть десятых В
"Напряжение ядра: 1,6 — 1,65 В",Напряжение ядра: одна целая шесть десятых — одна целая шесть десятых5 В
"Напряжение ядра: 1,4 В",Напряжение ядра: одна целая четыре десятых В
"Напряжение ядра: 1,4 В",Напряжение ядра: одна целая четыре десятых В
"Напряжение ядра: 1,25/1,35/1,40 В (1,20/1,25 В для версии Energy Efficient SFF)",Напряжение ядра: одна целая двадцать пять сотых/одна целая тридцать пять сотых/одна целая сорок сотых В (одна целая двадцать сотых/одна целая двадцать пять сотых В для версии Energy Efficient SFF)
"Напряжение ядра: 1,25/1,35/1,40 В (1,20/1,25 В для версии Energy Efficient SFF)",Напряжение ядра: одна целая двадцать пять сотых/одна целая тридцать пять сотых/одна целая сорок сотых В (одна целая двадцать сотых/одна целая двадцать пять сотых В для версии Energy Efficient SFF)
"Занимает площадь 8,65 км².",Занимает площадь восьми целых шестидесяти пяти сотых км².
"На то время это было третье по интенсивности землетрясение, с магнитудой 6,9 по шкале Рихтера.","На то время это было третье по интенсивности землетрясение, с магнитудой шестью целых девятью десятых по шкале Рихтера."
"Занимает площадь 279,466 км².",Занимает площадь двухсот семидесяти девяти целых четырёхсот шестидесяти шести тысячных км².
"Плотность населения — 12,6 чел./км².",Плотность населения — двенадцать целых шесть десятых чел./км².
"Период обращения астероида вокруг Солнца составляет 4,036 года.",Период обращения астероида вокруг Солнца составляет четыре целых тридцать шесть тысячных года.
"Расстояние до районного центра Нюксеницы по автодороге — 39,5 км.",Расстояние до районного центра Нюксеницы по автодороге — тридцать девять целых пять десятых км.
"Площадь бассейна — 34,5 тыс. км².",Площадь бассейна — тридцать четыре целых пять десятых тыс. км².
"Ёыйдо (Йоыйдо) — остров площадью 8,4 км², через который в древние времена шла переправа.","Ёыйдо (Йоыйдо) — остров площадью восьми целых четырёх десятых км², через который в древние времена шла переправа."
"Площадь 2,72 млн м².",Площадь две целых семьдесят две сотых млн м².
"Ширина моста составляла 7,7 метра, причём проезжая часть была всего 4,5 метра.","Ширина моста составляла семь целых семь десятых метра, причём проезжая часть была всего четыре целых пять десятых метра."
"Стоимость строительства составила 2,86 млрд вон.",Стоимость строительства составила две целых восемьдесят шесть сотых млрд вон.
"Ещё до финала плей-офф Варежао имел лучшие из игроков обеих команд шансы на чемпионский перстень, поскольку «Уорриорз» встречались там с «Кавальерс», которые в случае победы по своему желанию могли вручить кольцо игравшему за них 11,5 лет бразильцу.","Ещё до финала плей-офф Варежао имел лучшие из игроков обеих команд шансы на чемпионский перстень, поскольку «Уорриорз» встречались там с «Кавальерс», которые в случае победы по своему желанию могли вручить кольцо игравшему за них одиннадцати целых пяти десятых лет бразильцу."
"циклический дикетон 2,2,4,4-тетрафенилциклобутан-1,3-дион (I) путем нагревания с хинолином","циклический дикетон 2,2,4,4-тетрафенилциклобутан-1,3-дион (I) путем нагревания с хинолином"
Аналогично с карбонильными соединениями образуются β-лактоны.,Аналогично с карбонильными соединениями образуются β-лактоны.
"Среднегодовая температура воздуха — 4,3 °C.",Среднегодовая температура воздуха — четыре целых три десятых °C.
"Занимает площадь 36,38 км².",Занимает площадь тридцати шести целых тридцати восьми сотых км².
"Площадь земель относящихся к деревне — 6,9 га.",Площадь земель относящихся к деревне — шесть целых девять десятых га.
"Занимает площадь 3,30 км².",Занимает площадь трёх целых тридцати сотых км².
"Занимает площадь 0,823 км².",Занимает площадь ноля целых восьмисот двадцати трёх тысячных км².
"Площадь поверхности — 6,0 км².",Площадь поверхности — шесть целых ноль десятых км².
"Среднегодовая температура воздуха — 2,3 °С.",Среднегодовая температура воздуха — две целых три десятых °С.
"Расстояние по автодороге до районного центра Сокола — 101,5 км, до центра муниципального образования Бирякова — 1,5 км.","Расстояние по автодороге до районного центра Сокола — сто одна целая пять десятых км, до центра муниципального образования Бирякова — одна целая пять десятых км."
"УрбанизацияГородское население (в рабочем посёлке Шексна) составляет 55,27 % населения района.",УрбанизацияГородское население (в рабочем посёлке Шексна) составляет пятьдесят пять целых двадцать семь сотых % населения района.
"Занимает площадь 10,05 км².",Занимает площадь десяти целых пяти сотых км².
"Ангела Меркель тогда заявляла, что у Евросоюза границы не закрываются («Мы можем это преодолеть»).","Ангела Меркель тогда заявляла, что у Евросоюза границы не закрываются («Мы можем это преодолеть»)."
"По официальным данным ЦИК Республики Беларусь, победу на них одержал Александр Лукашенко с результатом 80,08 % голосов.","По официальным данным ЦИК Республики Беларусь, победу на них одержал Александр Лукашенко с результатом восемьдесят целых восемь сотых % голосов."
"Светлана Тихановская, которая была его основным конкурентом, набрала 10,12 % голосов.","Светлана Тихановская, которая была его основным конкурентом, набрала десять целых двенадцать сотых % голосов."
"Правительство Латвии выделило МВД страны более 1,7 млн евро на приобретение и установку колючей проволоки на границе с Белоруссией, средства выделены из бюджета «на непредвиденные расходы».","Правительство Латвии выделило МВД страны более одна целая семь десятых млн евро на приобретение и установку колючей проволоки на границе с Белоруссией, средства выделены из бюджета «на непредвиденные расходы»."
"Представители бригады заявили, что будут уничтожать не мигрантов, а лиц, которые могут себя за них выдавать.","Представители бригады заявили, что будут уничтожать не мигрантов, а лиц, которые могут себя за них выдавать."
"Как заявила министр внутренних дел Литвы Агне Билотайте, на соседнем с населённым пунктом военном полигоне планировалось создание лагеря для 1,5 тысячи мигрантов.","Как заявила министр внутренних дел Литвы Агне Билотайте, на соседнем с населённым пунктом военном полигоне планировалось создание лагеря для одна целая пять десятых тысячи мигрантов."
"В  Польше разразился скандал после публикаций о вовлечении МИД страны в схему нелегальной выдачи виз гражданам из Африки и со Среднего Востока за взятки // РГ, 23.09.2023How Belarus is helping ‘tourists’ break into the EU — расследование BBC (англ.)","В  Польше разразился скандал после публикаций о вовлечении МИД страны в схему нелегальной выдачи виз гражданам из Африки и со Среднего Востока за взятки // РГ, 23.09.2023How Belarus is helping ‘tourists’ break into the EU — расследование BBC (англ.)"
"Среднегодовая температура воздуха — 3,8 °C.",Среднегодовая температура воздуха — три целых восемь десятых °C.
"Ещё 10,8 % принадлежали «Фонду развития и поддержки средств массовой информации», одним из учредителей которого был виолончелист и близкий друг президента России Владимира Путина Сергей Ролдугин.","Ещё десять целых восемь десятых % принадлежали «Фонду развития и поддержки средств массовой информации», одним из учредителей которого был виолончелист и близкий друг президента России Владимира Путина Сергей Ролдугин."
"Трансляцию матча на телеканале «Спорт» смотрели более 4,5 млн жителей России, что на тот момент являлось самой большой ТВ-аудиторией одной футбольной трансляции на канале.","Трансляцию матча на телеканале «Спорт» смотрели более четыре целых пять десятых млн жителей России, что на тот момент являлось самой большой ТВ-аудиторией одной футбольной трансляции на канале."
"Через месяц появилась информация, что сумма компенсации за досрочное прекращение контракта составила 2,5 млн евро.","Через месяц появилась информация, что сумма компенсации за досрочное прекращение контракта составила две целых пять десятых млн евро."
"Больше всего голосов (63,2 %) получил тренер «Уфы» Сергей Семак.",Больше всего голосов (шестьдесят три целых две десятых %) получил тренер «Уфы» Сергей Семак.
