q,a
"90,0 FM — Новое Радио",девяносто целых ноль десятых FM — Новое Радио
"90,8 FM — Вести FM",девяносто целых восемь десятых FM — Вести FM
"91,6 FM — Радио Jazz",девяносто одна целая шесть десятых FM — Радио Jazz
"100,8 FM — Love Radio",сто целых восемь десятых FM — Love Radio
"101,2 FM — Радио Дача",сто одна целая две десятых FM — Радио Дача
"101,6 FM — Авторадио",сто одна целая шесть десятых FM — Авторадио
"102,0 FM — Радио России / Радио Поморье",сто две целых ноль десятых FM — Радио России / Радио Поморье
"102,8 FM — Европа Плюс",сто две целых восемь десятых FM — Европа Плюс
"103,4 FM — Дорожное радио",сто три целых четыре десятых FM — Дорожное радио
"103,8 FM — Русское радио",сто три целых восемь десятых FM — Русское радио
"104,2 FM — Жара FM",сто четыре целых две десятых FM — Жара FM
"104,7 FM — Наше радио",сто четыре целых семь десятых FM — Наше радио
"105,4 FM — Ретро FM",сто пять целых четыре десятых FM — Ретро FM
"106,0 FM — Радио Маяк",сто шесть целых ноль десятых FM — Радио Маяк
"106,4 FM — Mega FM",сто шесть целых четыре десятых FM — Mega FM
"Касимова подняла в рывке 97,5 килограмма, а во втором упражнении — толчке — справилась с 127,5 кг.","Касимова подняла в рывке девяносто семь целых пять десятых килограмма, а во втором упражнении — толчке — справилась с сто двадцатью семью целых пятью десятых кг."
"В то же время, государственный долг составляет 38,6 % от ВВП.","В то же время, государственный долг составляет тридцать восемь целых шесть десятых % от ВВП."
"Количество населения, живущего ниже черты бедности доходит до 22,2 %.","Количество населения, живущего ниже черты бедности доходит до двадцать две целых две десятых %."
"Правом голоса обладают 18,2 миллионов человек.",Правом голоса обладают восемнадцать целых две десятых миллионов человек.
"За первые три часа в Румынии проголосовало 6,55 % избирателей.",За первые три часа в Румынии проголосовало шесть целых пятьдесят пять сотых % избирателей.
"По результатам экзит-поллов второго тура, Виктор Понта получил 50,9 % голосов, а Клаус Йоханнис — 49,1 %.","По результатам экзит-поллов второго тура, Виктор Понта получил пятьдесят целых девять десятых % голосов, а Клаус Йоханнис — сорок девять целых одна десятая %."
"3,5 тыс. тонн олова;",три целых пять десятых тыс. тонн олова;
"6,5 тонн золота.",шесть целых пять десятых тонн золота.
"Длина реки — 273,5 км.",Длина реки — двести семьдесят три целых пять десятых км.
"Площадь водосборного бассейна — 8138,90 км².",Площадь водосборного бассейна — восемь тысячи сто тридцать восемь целых девяносто сотых км².
"Всего из района было мобилизовано около 5,5 тысячи человек.",Всего из района было мобилизовано около пяти целых пяти десятых тысячи человек.
"Площадь озера — 10,5 км², площадь водосборного бассейна — 91,2 км².","Площадь озера — десять целых пять десятых км², площадь водосборного бассейна — девяносто одна целая две десятых км²."
"Располагается на высоте 133,0 метров над уровнем моря.",Располагается на высоте сто тридцати трёх целых ноля десятых метров над уровнем моря.
"В озере более трёх десятков островов общей площадью 0,12 км².",В озере более трёх десятков островов общей площадью ноля целых двенадцати сотых км².
"Средняя амплитуда колебаний уровня составляет 1,0 м.",Средняя амплитуда колебаний уровня составляет одной целой ноля десятых м.
"Стефан Петрансель/Жан-Поль Коттре, Mitsubishi Pajero Evolution, + 2.01 м","Стефан Петрансель/Жан-Поль Коттре, Mitsubishi Pajero Evolution, + двух целых одной сотой м"
"Люк Альфан/Жиль Пикар, Mitsubishi Pajero Evolution, + 7.28 м","Люк Альфан/Жиль Пикар, Mitsubishi Pajero Evolution, + семь целых двадцать восемь сотых м"
"Бруно Саби/Алена Guehennec, BMW X3 CC, + 46.30 м","Бруно Саби/Алена Guehennec, BMW X3 CC, + сорок шесть целых тридцать сотых м"
"Роберт Болдуин/Кевин Хис, Hummer H3, + 56.02 м","Роберт Болдуин/Кевин Хис, Hummer H3, + пятидесяти шести целых двух сотых м"
"-164.89, диаметр 63,4 км, глубина 2,7 км.","-сто шестьдесят четыре целых восемьдесят девять сотых, диаметр шестидесяти трёх целых четырёх десятых км, глубина двух целых семи десятых км."
"Занимает площадь 51,08 км².",Занимает площадь пятидесяти одной целой восьми сотых км².
"Однако на большинстве советских железных дорог того времени паровозы ИС не могли работать, что было связано прежде всего с низким техническим состоянием железнодорожных путей при высоких осевых нагрузках (20,5 тс) данного паровоза.","Однако на большинстве советских железных дорог того времени паровозы ИС не могли работать, что было связано прежде всего с низким техническим состоянием железнодорожных путей при высоких осевых нагрузках (двадцать целых пять десятых тс) данного паровоза."
"Помимо этого, его КПД был почти на четверть выше (9,22, против 7,45 %), то есть каждая четвёртая—пятая поездка осуществлялась на сэкономленном угле.","Помимо этого, его КПД был почти на четверть выше (девять целых двадцать две сотых, против семь целых сорок пять сотых %), то есть каждая четвёртая—пятая поездка осуществлялась на сэкономленном угле."
"фенолы и их производные (в %): тирозол — 0,25, салидрозид — 0,51—1,39;","фенолы и их производные (в %): тирозол — ноль целых двадцать пять сотых, салидрозид — ноль целых пятьдесят одна сотая—одна целая тридцать девять сотых;"
"углеводы: глюкозу и фруктозу — 2,31, сахарозу — 0,53, седогептулозу;","углеводы: глюкозу и фруктозу — две целых тридцать одна сотая, сахарозу — ноль целых пятьдесят три сотых, седогептулозу;"
"органические кислоты (щавелевую, яблочную, янтарную, лимонную) — 0,15;","органические кислоты (щавелевую, яблочную, янтарную, лимонную) — ноль целых пятнадцать сотых;"
"дубильные вещества — 15,9—20,25;",дубильные вещества — пятнадцать целых девять десятых—двадцать целых двадцать пять сотых;
алкалоиды.,алкалоиды.
"Обнаружены также микроэлементы (содержание в золе в %): марганец — до 0,8, серебро — 0,0002, цинк — 0,1, медь — 0,002 и др.Эфирное масло состоит из основных классов химических веществ: монотерпеновых углеводородов (25,40 %), монотерпеновых спиртов (23,61 %) и алифатических спиртов с прямой цепью (37,54 %).","Обнаружены также микроэлементы (содержание в золе в %): марганец — до ноля целых восьми десятых, серебро — ноля целых двух десятитысячных, цинк — ноля целых одной десятой, медь — ноля целых двух тысячных и др.Эфирное масло состоит из основных классов химических веществ: монотерпеновых углеводородов (двадцать пять целых сорок сотых %), монотерпеновых спиртов (двадцать три целых шестьдесят одна сотая %) и алифатических спиртов с прямой цепью (тридцать семь целых пятьдесят четыре сотых %)."
1985.391 с.,одна тысяча девятьсот восемьдесят пять целых триста девяносто одна тысячная с.
"Скорость течения 0,2-0,3 м/с.",Скорость течения ноля целых двух десятых-ноля целых трёх десятых м/с.
"Берёт начало в озере Кумжозеро на высоте 46,9 м над уровнем моря.",Берёт начало в озере Кумжозеро на высоте сорока шести целых девяти десятых м над уровнем моря.
"На высоте 140,5 м проходит через озеро Лендозеро.",На высоте сто сорока целых пяти десятых м проходит через озеро Лендозеро.
"Крупнейший приток — Шомба (справа, в 4,2 км от устья).","Крупнейший приток — Шомба (справа, в четыре целых две десятых км от устья)."
"Занимает площадь 117,660 км².",Занимает площадь сто семнадцати целых шестисот шестидесяти тысячных км².
"Плотность населения — 62,8 чел./км².",Плотность населения — шестьдесят две целых восемь десятых чел./км².
"В некоторых местах толщина стен достигает 1,8 метра.",В некоторых местах толщина стен достигает одна целая восемь десятых метра.
"длина электропоезда основной составности — 44,2 м;",длина электропоезда основной составности — сорок четыре целых две десятых м;
"Устойчивое снижение массы тела в среднем составляло 3,2 %.",Устойчивое снижение массы тела в среднем составляло три целых две десятых %.
"В том числе русские — 86,8 %; буряты — 9,8 %; эвенки — 1,8 %; монголы — 1,0 %.",В том числе русские — восемьдесят шесть целых восемь десятых %; буряты — девять целых восемь десятых %; эвенки — одна целая восемь десятых %; монголы — одна целая ноль десятых %.
"Это очень мелкие (менее 0,5 мм) интерстициальные морские животные.",Это очень мелкие (менее ноль целых пять десятых мм) интерстициальные морские животные.
"Типовой штамм YS17T (=CGMCC 1.12942T=JCM 30952T)был выделен из созревшего образца чая пуэр, полученного от производителя из провинции Юньнань, Китай.","Типовой штамм YS17T (=CGMCC 1.12942T=JCM 30952T)был выделен из созревшего образца чая пуэр, полученного от производителя из провинции Юньнань, Китай."
"Занимает площадь 6,21 км².",Занимает площадь шести целых двадцати одной сотой км².
"сельское хозяйство - 0,3 %",сельское хозяйство - ноль целых три десятых %
"промышленность - 46,2 %",промышленность - сорок шесть целых две десятых %
"строительство - 4,4 %",строительство - четыре целых четыре десятых %
"торговля, транспорт и сфера услуг - 24,8 %","торговля, транспорт и сфера услуг - двадцать четыре целых восемь десятых %"
"Реализация OpenACC доступна в компиляторах от PGI (с версии 12.6), Cray и CAPS.Группа HPCTools из Университета Хьюстона добавила поддержку OpenACC в открытый компилятор OpenUH, основанный на кодах Open64.","Реализация OpenACC доступна в компиляторах от PGI (с версии двенадцатью целых шестью десятых), Cray и CAPS.Группа HPCTools из Университета Хьюстона добавила поддержку OpenACC в открытый компилятор OpenUH, основанный на кодах Open64."
"В национальной лаборатории ORNL был разработан компилятор с открытыми исходными текстами OpenARC для языка Си, поддерживающий OpenACC версии 1.0.","В национальной лаборатории ORNL был разработан компилятор с открытыми исходными текстами OpenARC для языка Си, поддерживающий OpenACC версии одна целая ноль десятых."
"Самый большой остров — Маэ (157,3 км²).",Самый большой остров — Маэ (сто пятьдесят семь целых три десятых км²).
"Годовой прирост — 0,97 % (фертильность — 1,92 рождений на женщину).",Годовой прирост — ноль целых девяносто семь сотых % (фертильность — одна целая девяносто две сотых рождений на женщину).
"Скорость течения — 0,1.",Скорость течения — ноль целых одна десятая.
"Хутор расположен в восточной части Белгородской области, на левом берегу малой реки под названием Манджоха (бассейна Оскола), в 4,4 км по прямой к западо-юго-западу от районного центра Волоконовки.","Хутор расположен в восточной части Белгородской области, на левом берегу малой реки под названием Манджоха (бассейна Оскола), в четыре целых четыре десятых км по прямой к западо-юго-западу от районного центра Волоконовки."
"сельское хозяйство — 6,9 %",сельское хозяйство — шесть целых девять десятых %
"промышленность — 9,5 %",промышленность — девять целых пять десятых %
"строительство — 11,8 %",строительство — одиннадцать целых восемь десятых %
"торговля, транспорт и сфера услуг — 27,0 %","торговля, транспорт и сфера услуг — двадцать семь целых ноль десятых %"
"Занимает площадь 84,509 км².",Занимает площадь восьмидесяти четырёх целых пятисот девяти тысячных км².
"Плотность населения — 26,8 чел./км².",Плотность населения — двадцать шесть целых восемь десятых чел./км².
"В результате специальных газогеохимических исследований (тысячи проб) в эксплуатационных скважинах месторождения выявлены уникальные газы, отличающиеся весьма высоким (более 0,6%) и крайне низким (0,0002%) содержанием гелия.","В результате специальных газогеохимических исследований (тысячи проб) в эксплуатационных скважинах месторождения выявлены уникальные газы, отличающиеся весьма высоким (более ноль целых шесть десятых%) и крайне низким (ноль целых две десятитысячных%) содержанием гелия."
"От этого перекрёстка начинается участок восточного полукольца длиной 3,7 км, который пролегает по Воткинскому шоссе на восток.","От этого перекрёстка начинается участок восточного полукольца длиной трёх целых семи десятых км, который пролегает по Воткинскому шоссе на восток."
"Высота устья — 127,8 м над уровнем моря.",Высота устья — сто двадцать семь целых восемь десятых м над уровнем моря.
"Площадь водосборного бассейна — 56,3 км².",Площадь водосборного бассейна — пятьдесят шесть целых три десятых км².
"В настоящее время река представляет собой каскад запруд, разделённых плотинами, которые соединенных заросшими камышом и другой растительностью протоками.","В настоящее время река представляет собой каскад запруд, разделённых плотинами, которые соединенных заросшими камышом и другой растительностью протоками."
"По данным государственного водного реестра также есть пруд Малейка с площадью 0,080 км².",По данным государственного водного реестра также есть пруд Малейка с площадью ноля целых восьмидесяти тысячных км².
"По данным Бюро переписи населения США город Шеридан имеет общую площадь в 10,36 квадратных километров, водных ресурсов в черте населённого пункта не имеется.","По данным Бюро переписи населения США город Шеридан имеет общую площадь в десять целых тридцать шесть сотых квадратных километров, водных ресурсов в черте населённого пункта не имеется."
"Средняя плотность населения составляла около 379,6 человека на один квадратный километр.",Средняя плотность населения составляла около трёхсот семидесяти девяти целых шести десятых человека на один квадратный километр.
"Расовый состав Шеридана по данным переписи распределился следующим образом: 97,34 % белых, 0,96 % — чёрных или афроамериканцев, 0,28 % — коренных американцев, 0,15 % — азиатов, 0,05 % — выходцев с тихоокеанских островов, 0,65 % — представителей смешанных рас, 0,57 % — других народностей.","Расовый состав Шеридана по данным переписи распределился следующим образом: девяносто семь целых тридцать четыре сотых % белых, ноль целых девяносто шесть сотых % — чёрных или афроамериканцев, ноль целых двадцать восемь сотых % — коренных американцев, ноль целых пятнадцать сотых % — азиатов, ноль целых пять сотых % — выходцев с тихоокеанских островов, ноль целых шестьдесят пять сотых % — представителей смешанных рас, ноль целых пятьдесят семь сотых % — других народностей."
"Испаноговорящие составили 0,96 % от всех жителей города.",Испаноговорящие составили ноль целых девяносто шесть сотых % от всех жителей города.
"Средний размер домашнего хозяйства составил 2,49 человек, а средний размер семьи — 3,02 человек.","Средний размер домашнего хозяйства составил двух целых сорока девяти сотых человек, а средний размер семьи — три целых две сотых человек."
"Занимает площадь 28,78 км².",Занимает площадь двадцати восьми целых семидесяти восьми сотых км².
"Среднегодовая температура воздуха положительная и составляет + 9,3 °C, средняя температура самого холодного месяца января - 5,3 °C, самого жаркого месяца июля +  24,1 °C.","Среднегодовая температура воздуха положительная и составляет + девять целых три десятых °C, средняя температура самого холодного месяца января - пять целых три десятых °C, самого жаркого месяца июля +  двадцать четыре целых одна десятая °C."
"Этою работою я занимался три года сряду, в течение летних месяцев, и потребовал 30,000 человек работников, но никогда не мог получить и половины этого числа, а в последний год не было прислано в мое распоряжение даже и 10,000 человек, не говоря о том, что всегда чувствовался недостаток в хороших мастерах и необходимом количестве материала.","Этою работою я занимался три года сряду, в течение летних месяцев, и потребовал тридцати целых ноля тысячных человек работников, но никогда не мог получить и половины этого числа, а в последний год не было прислано в мое распоряжение даже и десять целых ноль тысячных человек, не говоря о том, что всегда чувствовался недостаток в хороших мастерах и необходимом количестве материала."
"Бюджет стройки составил 4,8 миллиона рублей.",Бюджет стройки составил четыре целых восемь десятых миллиона рублей.
"Среднегодовая температура воздуха составляет 5,3 °С.",Среднегодовая температура воздуха составляет пять целых три десятых °С.
"В расовом отношении белые и метисы составляли 89,6 % от населения города; негры, мулаты и райсальцы — 10,4 %.","В расовом отношении белые и метисы составляли восемьдесят девять целых шесть десятых % от населения города; негры, мулаты и райсальцы — десять целых четыре десятых %."
"Уровень грамотности среди всего населения составлял 81,9 %.",Уровень грамотности среди всего населения составлял восемьдесят одна целая девять десятых %.
"70,9 % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, 15,8 % — предприятия сферы обслуживания, 13,3 % — промышленные предприятия.","семьдесят целых девять десятых % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, пятнадцать целых восемь десятых % — предприятия сферы обслуживания, тринадцать целых три десятых % — промышленные предприятия."
"Озеро имеет форму вытянутого (при длине 10,5 км, наибольшая ширина озера составляет 0,9 км, а средняя — 0,4 км) глубокого (наибольшая глубина — 33,0 м, а средняя — 12,7 м) водоёма с пологими, местами возвышенными берегами (длина береговой линии — 21,1 км).","Озеро имеет форму вытянутого (при длине десяти целых пяти десятых км, наибольшая ширина озера составляет ноля целых девяти десятых км, а средняя — ноль целых четыре десятых км) глубокого (наибольшая глубина — тридцать три целых ноль десятых м, а средняя — двенадцать целых семь десятых м) водоёма с пологими, местами возвышенными берегами (длина береговой линии — двадцать одна целая одна десятая км)."
"Площадь водного зеркала озера — 4,5 км², объём — 0,0571 км³.","Площадь водного зеркала озера — четыре целых пять десятых км², объём — ноль целых пятьсот семьдесят одна десятитысячная км³."
"Деревня располагается на восток от центра сельского поселения села Арефино,  на дороге, идущей из Арефино на восток к деревне Починок–Болотово, наиболее крупной деревне на востоке поселения, от которой удалена на расстояние 2,3 км.","Деревня располагается на восток от центра сельского поселения села Арефино,  на дороге, идущей из Арефино на восток к деревне Починок–Болотово, наиболее крупной деревне на востоке поселения, от которой удалена на расстояние двух целых трёх десятых км."
"Расстояние до Арефино составляет 5,5 км.",Расстояние до Арефино составляет пяти целых пяти десятых км.
"Это позволило ему сорвать замысел алжирского паши, и метким огнём с дистанции 0,5 кбт нанести ему значительный урон.","Это позволило ему сорвать замысел алжирского паши, и метким огнём с дистанции ноля целых пяти десятых кбт нанести ему значительный урон."
"За первый день фильм заработал $37,4 млн, включая $10,5 млн от вечернего просмотра в четверг, что является вторым по величине показателем для сентябрьской премьеры и фильма ужасов после $13,5 млн первого фильма.","За первый день фильм заработал $тридцать семь целых четыре десятых млн, включая $десять целых пять десятых млн от вечернего просмотра в четверг, что является вторым по величине показателем для сентябрьской премьеры и фильма ужасов после $тринадцать целых пять десятых млн первого фильма."
"Благодаря этой победе вошла в основной состав американской сборной и удостоилась права защищать честь страны на летних Олимпийских играх в Пекине — на предварительном квалификационном этапе метнула копьё на 54,39 метра, чего оказалось недостаточно для выхода в финал.","Благодаря этой победе вошла в основной состав американской сборной и удостоилась права защищать честь страны на летних Олимпийских играх в Пекине — на предварительном квалификационном этапе метнула копьё на пятьдесят четыре целых тридцать девять сотых метра, чего оказалось недостаточно для выхода в финал."
"К концу года он установил в своей карьере рекорды по очкам и подборам (16,2 и 6,7 соответственно).",К концу года он установил в своей карьере рекорды по очкам и подборам (шестнадцать целых две десятых и шесть целых семь десятых соответственно).
"4,4 км).",четыре целых четыре десятых км).
"Средняя температура января — −18,2 °C, июля — +19,8 °C.","Средняя температура января — −восемнадцать целых две десятых °C, июля — девятнадцать целых восемь десятых °C."
УрбанизацияВ городских условиях (рабочие посёлки Благовещенка и Степное Озеро) проживают 61.62 % населения района.,УрбанизацияВ городских условиях (рабочие посёлки Благовещенка и Степное Озеро) проживают шестьдесят одна целая шестьдесят две сотых % населения района.
"Занимает площадь 1,194 км².",Занимает площадь одной целой сто девяноста четырёх тысячных км².
"На компьютер установлена операционная система Xubuntu с ядром Linux 2.6, вместе с набором интернет‐приложений.","На компьютер установлена операционная система Xubuntu с ядром Linux двумя целых шестью десятых, вместе с набором интернет‐приложений."
"Его предвыборная кампания стоила в итоге 1,88$, что равно стоимости авторучки и общей тетради, которые он использовал при написании своего имени и раздаче таких памяток избирателям.","Его предвыборная кампания стоила в итоге одна целая восемьдесят восемь сотых$, что равно стоимости авторучки и общей тетради, которые он использовал при написании своего имени и раздаче таких памяток избирателям."
"Занимает площадь 24,91 км².",Занимает площадь двадцати четырёх целых девяноста одной сотой км².
"Занимает площадь 39,82 км².",Занимает площадь тридцати девяти целых восьмидесяти двух сотых км².
"Среднегодовая температура составляет 4,5 °C.",Среднегодовая температура составляет четырёх целых пяти десятых °C.
Дизель-поезд VT 18.16 была разработан для обеспечения  международных перевозок проходящих по территории ГДР маршрутов.,Дизель-поезд VT восемнадцать целых шестнадцать сотых была разработан для обеспечения  международных перевозок проходящих по территории ГДР маршрутов.
"Технический уровень этого типа состава был сравним с дизель-поездом VT 11.5, обслуживавшим сеть маршрутов TEE (Trans Europa Express) в ФРГ.","Технический уровень этого типа состава был сравним с дизель-поездом VT одиннадцатью целых пятью десятых, обслуживавшим сеть маршрутов TEE (Trans Europa Express) в ФРГ."
"Подвижной состав VT 18.16 стал наиболее комфортным типом поездов в ГДР обслуживание в котором находилось на наиболее высоком уровне, чем в других поездах DR.","Подвижной состав VT восемнадцать целых шестнадцать сотых стал наиболее комфортным типом поездов в ГДР обслуживание в котором находилось на наиболее высоком уровне, чем в других поездах DR."
"Дизель-поезда VT 18.16 обеспечивали международные маршруты в Скандинавию, Австрию и Чехословакию.","Дизель-поезда VT восемнадцать целых шестнадцать сотых обеспечивали международные маршруты в Скандинавию, Австрию и Чехословакию."
"Основными международными маршрутами, которые обслуживали поезда VT 18.16 были:","Основными международными маршрутами, которые обслуживали поезда VT восемнадцать целых шестнадцать сотых были:"
"И хотя для обслуживании стали привлекались другие поезда, но все равно VT 18.16 остался синонимом для экспресса маршрута Vindobona.","И хотя для обслуживании стали привлекались другие поезда, но все равно VT восемнадцать целых шестнадцать сотых остался синонимом для экспресса маршрута Vindobona."
"Последними международными маршрутами, где применялся VT 18.16, оставались Karlex и Karola, а внутренними Вокзал Зоологический сад Берлин — Центральный железнодорожный вокзал Лейпцига, а также экспресс Берлин — Баутцен.","Последними международными маршрутами, где применялся VT восемнадцать целых шестнадцать сотых, оставались Karlex и Karola, а внутренними Вокзал Зоологический сад Берлин — Центральный железнодорожный вокзал Лейпцига, а также экспресс Берлин — Баутцен."
== Дизель-поезд VT 18.16 как железнодорожная модель ==,== Дизель-поезд VT восемнадцать целых шестнадцать сотых как железнодорожная модель ==
== Дизель-поезд VT 18.16 изображения на марках ==,== Дизель-поезд VT восемнадцать целых шестнадцать сотых изображения на марках ==
Начиная с версии 6.0 стандарта Юникод в нём предусмотрены следующие коды:,Начиная с версии шестью целых нолём десятых стандарта Юникод в нём предусмотрены следующие коды:
"Занимает площадь 293,488 км².",Занимает площадь двухсот девяноста трёх целых четырёхсот восьмидесяти восьми тысячных км².
"Плотность населения — 9,4 чел./км².",Плотность населения — девять целых четыре десятых чел./км².
"Между выходом Инглиса из камеры и открытием люка под его ногами прошло всего 7,5 секунд.",Между выходом Инглиса из камеры и открытием люка под его ногами прошло всего семь целых пять десятых секунд.
"Занимает площадь 2,7 км².",Занимает площадь двух целых семи десятых км².
"Занимает площадь 23,81 км².",Занимает площадь двадцати трёх целых восьмидесяти одной сотой км².
"Рядом с Броттероде лежит одна из наиболее высоких гор Тюрингенского леса — гора Гроссер-Инзельберг (916,5 м).",Рядом с Броттероде лежит одна из наиболее высоких гор Тюрингенского леса — гора Гроссер-Инзельберг (девятьсот шестнадцать целых пять десятых м).
"Например: 市 (00227.2), 帝 (00227.3).","Например: 市 (двести двадцать семь целых две десятых), 帝 (двести двадцать семь целых три десятых)."
"Занимает площадь 5,47 км².",Занимает площадь пяти целых сорока семи сотых км².
"Среднегодовая температура — 5,6 °C.",Среднегодовая температура — пять целых шесть десятых °C.
"Наибольшая длина озера — 1,5 км, наибольшая ширина — 1,2 км.","Наибольшая длина озера — одна целая пять десятых км, наибольшая ширина — одна целая две десятых км."
"Длина береговой линии составляет 4,5 км, развитие береговой линии — 1,18.","Длина береговой линии составляет четырёх целых пяти десятых км, развитие береговой линии — одна целая восемнадцать сотых."
"Озеро расположено на высоте 183,4 м над уровнем моря.",Озеро расположено на высоте сто восьмидесяти трёх целых четырёх десятых м над уровнем моря.
"Среднегодовая температура — 3,6 °C.",Среднегодовая температура — три целых шесть десятых °C.
"Также альбом стал самым продаваемым с более чем 50,000 предварительными продажами.",Также альбом стал самым продаваемым с более чем пятьюдесятью целых нолём тысячных предварительными продажами.
"После выпуска альбом за неделю побил все рекорды продаж в iTunes, продав более 101,000 копий.","После выпуска альбом за неделю побил все рекорды продаж в iTunes, продав более сто одной целой ноля тысячных копий."
"Несмотря на такое высокое положение в чарте, было продано только 142,000 копий альбома, что было не очень хорошо, по сравнению с предыдущим альбомом It Won’t Be Soon Before Long, который дебютировал на первой строчке с проданными 429,000 копиями.","Несмотря на такое высокое положение в чарте, было продано только сто сорок две целых ноль тысячных копий альбома, что было не очень хорошо, по сравнению с предыдущим альбомом It Won’t Be Soon Before Long, который дебютировал на первой строчке с проданными четырьмястами двадцатью девятью целых нолём тысячных копиями."
"Для приёма почты оказывается доступным использование fetchmail и/или procmail, или другие внешние команды (inc, imget).","Для приёма почты оказывается доступным использование fetchmail и/или procmail, или другие внешние команды (inc, imget)."
"Он набрал 6,2 % голосов и занял четвёртое место.",Он набрал шесть целых две десятых % голосов и занял четвёртое место.
"Количество вытекающей воды достигает 8,5 т/с.",Количество вытекающей воды достигает восьми целых пяти десятых т/с.
"Из него берёт начало река Ах, впадающая в Боденское озеро, откуда вытекает Рейн.","Из него берёт начало река Ах, впадающая в Боденское озеро, откуда вытекает Рейн."
"Максимальные дозы для взрослых при приёме внутрь: разовая 0,01 г, суточная 0,02 г.","Максимальные дозы для взрослых при приёме внутрь: разовая ноля целых одной сотой г, суточная ноля целых двух сотых г."
"Среднегодовая многолетняя температура воздуха составляет 3,6 — 3,8 °С.",Среднегодовая многолетняя температура воздуха составляет три целых шесть десятых — три целых восемь десятых °С.
"Располагается на высоте 179,1 метров над уровнем моря.",Располагается на высоте сто семидесяти девяти целых одной десятой метров над уровнем моря.
"Ближайший — посёлок Поросозеро — расположен в 22,5 км к востоку от озера.",Ближайший — посёлок Поросозеро — расположен в двадцать две целых пять десятых км к востоку от озера.
"Среднегодовая температура воздуха — 3,3 °C.",Среднегодовая температура воздуха — три целых три десятых °C.
"В 3,5 км к западу от озера находится деревня Койккюла.",В трёх целых пяти десятых км к западу от озера находится деревня Койккюла.
"Площадь составляет около 2,34 км² (по другим данным — 2,325 км²).",Площадь составляет около двух целых тридцати четырёх сотых км² (по другим данным — две целых триста двадцать пять тысячных км²).
"Высота над уровнем моря 69,3 м.",Высота над уровнем моря шестидесяти девяти целых трёх десятых м.
"Средняя глубина 3,4 м, наибольшая — 7,4 м (по другим данным — 4,5 м).","Средняя глубина трёх целых четырёх десятых м, наибольшая — семь целых четыре десятых м (по другим данным — четыре целых пять десятых м)."
"Объём озера — 7,956 млн м³.",Объём озера — семь целых девятьсот пятьдесят шесть тысячных млн м³.
За отличие при штурме Пекина награждён орденом Св.,За отличие при штурме Пекина награждён орденом Св.
Награждён орденом Св.,Награждён орденом Св.
орден Св.,орден Св.
орден Св.,орден Св.
мечи и бант к ордену Св.,мечи и бант к ордену Св.
"В 2,5 км на восток от южной окраины села, из родника берёт своё начало и течёт по направлению с севера на юг река Ялпужель (правый приток реки Ялпуг).","В двух целых пяти десятых км на восток от южной окраины села, из родника берёт своё начало и течёт по направлению с севера на юг река Ялпужель (правый приток реки Ялпуг)."
Благодаря большей электроотрицательности углерода относительно кремния (2.55 и 1.90 соответственно) эта связь имеет определённую полярность.,Благодаря большей электроотрицательности углерода относительно кремния (две целых пятьдесят пять сотых и одна целая девяносто сотых соответственно) эта связь имеет определённую полярность.
"Озеро расположено на восточном склоне горы Тхихурай (924,6 м нум) в окружении предгорных смешанных лесов.",Озеро расположено на восточном склоне горы Тхихурай (девятьсот двадцать четыре целых шесть десятых м нум) в окружении предгорных смешанных лесов.
"15,3), но и <вкусит смерть>, то есть познает состояние смерти, состояние разделения души и тела, в продолжение времени между тем мгновением, когда Он испустил дух на кресте, и тем, когда Он воскрес.","пятнадцать целых три десятых), но и <вкусит смерть>, то есть познает состояние смерти, состояние разделения души и тела, в продолжение времени между тем мгновением, когда Он испустил дух на кресте, и тем, когда Он воскрес."
"Который может сказать: <…и был мертв, и се, жив во веки веков> (Откр 1,18).","Который может сказать: <…и был мертв, и се, жив во веки веков> (Откр одна целая восемнадцать сотых)."
"Вот почему тело Христа умершего <не увидело тления> (Деян 13,37).",Вот почему тело Христа умершего <не увидело тления> (Деян тринадцать целых тридцать семь сотых).
"Добавки и функциональные продукты — пищевые добавки, агрохимия, ингридиеты для косметики, химикаты для производство стройматериалов, шин и электроники; выручка 3,7 млрд долларов.","Добавки и функциональные продукты — пищевые добавки, агрохимия, ингридиеты для косметики, химикаты для производство стройматериалов, шин и электроники; выручка три целых семь десятых млрд долларов."
"Прогрессивные материалы — специализировнные плёнки, полимеры и пластмассы; выручка 3,0 млрд долларов.","Прогрессивные материалы — специализировнные плёнки, полимеры и пластмассы; выручка три целых ноль десятых млрд долларов."
"Промежуточные соединения — целлюлозные биополимеры, ацетилы, олефины, алкиламины; выручка 2,8 млрд долларов.","Промежуточные соединения — целлюлозные биополимеры, ацетилы, олефины, алкиламины; выручка две целых восемь десятых млрд долларов."
"Волокна — ацетатное и целлюлозное волокно, нетканые текстильные материалы; выручка 0,9 млрд долларов.","Волокна — ацетатное и целлюлозное волокно, нетканые текстильные материалы; выручка ноль целых девять десятых млрд долларов."
Основные регионы деятельности:,Основные регионы деятельности:
"США и Канада — выручка 4,6 млрд долларов.",США и Канада — выручка четыре целых шесть десятых млрд долларов.
