q,a
"49,9 % его населения было мужского пола, и 50,1 % — женского пола.","сорок девять целых девять десятых % его населения было мужского пола, и пятьдесят целых одна десятая % — женского пола."
"Для сравнения, в Альберте этот показатель находится на уровне 6,2 %, а в Канаде в целом — 5,6 %.","Для сравнения, в Альберте этот показатель находится на уровне шесть целых две десятых %, а в Канаде в целом — пять целых шесть десятых %."
"За этот же период население Альберты увеличилось на 10,6 %, а Канады — на 5,4 %.","За этот же период население Альберты увеличилось на десять целых шесть десятых %, а Канады — на пять целых четыре десятых %."
"Плотность населения в городе в среднем составляла 1360,2 жителя на квадратный километр (в провинции в среднем 5,1 жителя на квадратный километр).",Плотность населения в городе в среднем составляла одна тысяча триста шестьдесят целых две десятых жителя на квадратный километр (в провинции в среднем пять целых одна десятая жителя на квадратный километр).
"Площадь водной поверхности озера составляет 195,8 га (по другим данным — 198,7 га или 175,9 га).",Площадь водной поверхности озера составляет сто девяносто пять целых восемь десятых га (по другим данным — сто девяносто восемь целых семь десятых га или сто семьдесят пять целых девять десятых га).
"Длиной 1,87 км, шириной — 1,14 км и с наибольшей глубиной в 1,4 м.","Длиной одной целой восьмидесяти семи сотых км, шириной — одной целой четырнадцати сотых км и с наибольшей глубиной в одну целую четыре десятых м."
"Протяжённость береговой линии — 11,634 км.",Протяжённость береговой линии — одиннадцать целых шестьсот тридцать четыре тысячных км.
"Площадь водосборного бассейна озера равняется 82,8 км².",Площадь водосборного бассейна озера равняется восьмидесяти двух целых восьми десятых км².
"Занимает площадь 31,30 км².",Занимает площадь тридцати одной целой тридцати сотых км².
"Семена длиной до 1,2 мм.",Семена длиной до одной целой двух десятых мм.
"Естественный прирост населения составляет 1,7 %.",Естественный прирост населения составляет одна целая семь десятых %.
"72,6 % выпускников школ получили аттестат зрелости, 48,1 % населения имеют свидетельство о высшем образовании.","семьдесят две целых шесть десятых % выпускников школ получили аттестат зрелости, сорок восемь целых одна десятая % населения имеют свидетельство о высшем образовании."
"Зима тёплая и дождливая (средняя температура января — самого холодного месяца — +13,3 °C).",Зима тёплая и дождливая (средняя температура января — самого холодного месяца — тринадцать целых три десятых °C).
"Занимает площадь 30,02 км².",Занимает площадь тридцати целых двух сотых км².
"Занимает площадь 7,74 км².",Занимает площадь семи целых семидесяти четырёх сотых км².
"Средний расход воды — 0,017 м³/с.",Средний расход воды — ноль целых семнадцать тысячных м³/с.
"В галактике вспыхнули сверхновые SN 1948A, и SN 1983K.","В галактике вспыхнули сверхновые SN 1948A, и SN 1983K."
"Их пиковые видимые звездные величины составили 17,0.",Их пиковые видимые звездные величины составили семнадцать целых ноль десятых.
