q,a
"Там он получил 61,10 %, в то время как Путин — 33,69 % голосов.","Там он получил шестьдесят одна целая десять сотых %, в то время как Путин — тридцать три целых шестьдесят девять сотых % голосов."
"Потребляемая Тяньхэ-1А электрическая мощность составляет 4,04 МВт.",Потребляемая Тяньхэ-1А электрическая мощность составляет четырёх целых четырёх сотых МВт.
"Среднегодовая температура — 1,3 — 1,4 °C.",Среднегодовая температура — одна целая три десятых — одна целая четыре десятых °C.
"Благодаря его деятельности сельскохозяйственные предприятия Гальского района перевыполнили план по сдаче государству урожая кукурузы в целом по району на 27,8 процентов.",Благодаря его деятельности сельскохозяйственные предприятия Гальского района перевыполнили план по сдаче государству урожая кукурузы в целом по району на двадцати семи целых восьми десятых процентов.
"Городское население (город Зубцов) составляет 42,96 % от всего населения района.",Городское население (город Зубцов) составляет сорок две целых девяносто шесть сотых % от всего населения района.
"Журнал военных действий, Военно-учётный архив № 3.101, Б и 3.145, А.","Журнал военных действий, Военно-учётный архив № три целых сто одна тысячная, Б и три целых сто сорок пять тысячных, А."
"сельское хозяйство и скотоводство — 49,2 %;",сельское хозяйство и скотоводство — сорок девять целых две десятых %;
"производство и строительство — 28,3 %;",производство и строительство — двадцать восемь целых три десятых %;
"торговля, сферы услуг и туризма — 20,6 %;","торговля, сферы услуг и туризма — двадцать целых шесть десятых %;"
"безработные — 1,9 %.",безработные — одна целая девять десятых %.
"электрификация: 97,3 %;",электрификация: девяносто семь целых три десятых %;
"водоснабжение: 96,5 %;",водоснабжение: девяносто шесть целых пять десятых %;
"Вершины имеют высоту до 2,5 км над уровнем моря.",Вершины имеют высоту до двух целых пяти десятых км над уровнем моря.
"Плотность населения — 11,5 чел./км².",Плотность населения — одиннадцать целых пять десятых чел./км².
"Длина тела — 10,6 см.",Длина тела — десять целых шесть десятых см.
"Тело удлиненное, сплюснутое с боков.","Тело удлиненное, сплюснутое с боков."
"Занимает площадь 1281,316 км².",Занимает площадь одной тысячи двухсот восьмидесяти одной целой трёхсот шестнадцати тысячных км².
"Плотность населения — 5,5 чел./км².",Плотность населения — пять целых пять десятых чел./км².
"Вода содержит более 0,4—1,5 мг экв. гидрокарбоната.",Вода содержит более ноль целых четыре десятых—одна целая пять десятых мг экв. гидрокарбоната.
"Предел допустимой концентрации ионов магния зависит от марки цемента, условий, конструкции сооружения, содержания сульфатных ионов и изменяется в широких пределах: от 1,0 до 2,5 %.","Предел допустимой концентрации ионов магния зависит от марки цемента, условий, конструкции сооружения, содержания сульфатных ионов и изменяется в широких пределах: от одной целой ноля десятых до две целых пять десятых %."
"очень мягкая: <1,5 мг экв./л,","очень мягкая: <одна целая пять десятых мг экв./л,"
"{\displaystyle C=0,80}","{\displaystyle C=0,80}"
"{\displaystyle C=1,55}","{\displaystyle C=1,55}"
"{\displaystyle C=2,00}","{\displaystyle C=2,00}"
"Только четыре станции, следующие за станцией Хуалампхонг, с 5,4 км линий являются подземными.","Только четыре станции, следующие за станцией Хуалампхонг, с пятью целых четырьмя десятых км линий являются подземными."
"Среднегодовая температура воздуха — 2,6 °C.",Среднегодовая температура воздуха — две целых шесть десятых °C.
"Средняя температура воздуха самого холодного месяца (января) — −12,7 °C; самого тёплого месяца (июля) — 17,9 °C.",Средняя температура воздуха самого холодного месяца (января) — −двенадцать целых семь десятых °C; самого тёплого месяца (июля) — семнадцать целых девять десятых °C.
"Цена в ФРГ составляла от 5,785 до 6,845 DM.",Цена в ФРГ составляла от пять целых семьсот восемьдесят пять тысячных до шесть целых восемьсот сорок пять тысячных DM.
"Базовый Rekord стоил от 6,545 до 7,110 дойч-марок.",Базовый Rekord стоил от шести целых пятисот сорока пяти тысячных до семи целых сто десяти тысячных дойч-марок.
"Однако цена купе составляла DM 9,380, а кабриолета — DM 11,180, что не добавляло им популярности.","Однако цена купе составляла DM девять целых триста восемьдесят тысячных, а кабриолета — DM одиннадцать целых сто восемьдесят тысячных, что не добавляло им популярности."
"Было выпущено 885,292 экземпляров.",Было выпущено восемьсот восемьдесят пять целых двести девяносто две тысячных экземпляров.
"Было выпущено 296,771 экземпляров.",Было выпущено двести девяносто шесть целых семьсот семьдесят одна тысячная экземпляров.
"В Бразилии автомобиль выпускался под маркой Chevrolet Opala и Comodoro, но оснащался американскими шестицилиндровыми двигателями производства Chevrolet объёмом 2,5 и 4,1 литра.","В Бразилии автомобиль выпускался под маркой Chevrolet Opala и Comodoro, но оснащался американскими шестицилиндровыми двигателями производства Chevrolet объёмом двух целых пяти десятых и четырёх целых одной десятой литра."
"В ФРГ автомобиль стоил от 7,630 до 9,560 марок;",В ФРГ автомобиль стоил от семи целых шестисот тридцати тысячных до девяти целых пятисот шестидесяти тысячных марок;
"Поэтому E1 имел хорошие для тех лет коэффициент аэродинамического сопротивления, равный 0,447.","Поэтому E1 имел хорошие для тех лет коэффициент аэродинамического сопротивления, равный ноль целых четыреста сорок семь тысячных."
"Всего выпущено 962,218 автомобилей.",Всего выпущено девятьсот шестьдесят две целых двести восемнадцать тысячных автомобилей.
"Основной дизельный двигатель 2,1 л.",Основной дизельный двигатель две целых одна десятая л.
"Однако вскоре двигатель 2,1 был снят с производства.",Однако вскоре двигатель две целых одна десятая был снят с производства.
"Уровень грамотности взрослого населения составлял 30,35 %, что значительно ниже среднего уровня по Бангладеш (43,1 %).","Уровень грамотности взрослого населения составлял тридцать целых тридцать пять сотых %, что значительно ниже среднего уровня по Бангладеш (сорок три целых одна десятая %)."
"78,08 % населения округа исповедовало ислам, 21,45 % — индуизм.","семьдесят восемь целых восемь сотых % населения округа исповедовало ислам, двадцать одна целая сорок пять сотых % — индуизм."
"Площадь — 903,42 км², что составляет 2,1 % от площади Дании без Гренландии и Фарерских островов.","Площадь — девятьсот три целых сорок две сотых км², что составляет две целых одна десятая % от площади Дании без Гренландии и Фарерских островов."
"В том же году 39,99 % компании у Шипелова выкупил бывший заместитель гендиректора «Ростеха» Сергей Скворцов.",В том же году тридцать девять целых девяносто девять сотых % компании у Шипелова выкупил бывший заместитель гендиректора «Ростеха» Сергей Скворцов.
"Общая мощность четырех комплексов под управлением «РТ-Инвест» — 1,5 млн тонн отходов в год.",Общая мощность четырех комплексов под управлением «РТ-Инвест» — одна целая пять десятых млн тонн отходов в год.
"В итоге совокупная мощность всех комплексов составит 3,3 млн тонн отходов в год.",В итоге совокупная мощность всех комплексов составит три целых три десятых млн тонн отходов в год.
"Мощность новых станций составит 1,5 ГВт.",Мощность новых станций составит одной целой пяти десятых ГВт.
"Минпромторг оценил строительство девяти заводов в 342,46 млрд руб, в состав которых входит всего 37,55 млрд руб. бюджетных денежных средств, каким образом компания добудет остальные деньги, в обращении указано не было.","Минпромторг оценил строительство девяти заводов в триста сорок две целых сорок шесть сотых млрд руб, в состав которых входит всего тридцать семь целых пятьдесят пять сотых млрд руб. бюджетных денежных средств, каким образом компания добудет остальные деньги, в обращении указано не было."
"Андроме́да XI (And XI) — карликовая сфероидальная галактика, которая находится в созвездии Андромеды на расстоянии 2,9 млн световых лет от Солнца.","Андроме́да XI (And XI) — карликовая сфероидальная галактика, которая находится в созвездии Андромеды на расстоянии две целых девять десятых млн световых лет от Солнца."
"В премьерные выходные в Северной Америке фильм собрал 46,1 млн долларов.",В премьерные выходные в Северной Америке фильм собрал сорок шесть целых одна десятая млн долларов.
"Площадь — 224,7 км².",Площадь — двести двадцать четыре целых семь десятых км².
"В оригинальном вещании США данный эпизод просмотрело 32,9 млн телезрителей.",В оригинальном вещании США данный эпизод просмотрело тридцать две целых девять десятых млн телезрителей.
"Максимальная концентрация в плазме крови отмечается через 1,5 ч.",Максимальная концентрация в плазме крови отмечается через одну целую пять десятых ч.
"Через год терапии этим препаратом прибавка в весе в среднем составляет 2,2 кг.Увеличение веса при приёме нейролептиков тесно сопряжено с гипергликемией, резистентностью к инсулину и с развитием сахарного диабета.","Через год терапии этим препаратом прибавка в весе в среднем составляет двух целых двух десятых кг.Увеличение веса при приёме нейролептиков тесно сопряжено с гипергликемией, резистентностью к инсулину и с развитием сахарного диабета."
"По данным Бюро переписи населения США площадь тауншипа составляет 91,6 км², из которых 83,9 км² занимает суша, а 7,6 км² — вода (8,35 %).","По данным Бюро переписи населения США площадь тауншипа составляет девяноста одной целой шести десятых км², из которых восьмидесяти трёх целых девяти десятых км² занимает суша, а семь целых шесть десятых км² — вода (восемь целых тридцать пять сотых %)."
"Плотность населения —  8,5 чел./км².",Плотность населения —  восемь целых пять десятых чел./км².
"Расовый состав населения: 97,76 % белых, 0,28 % коренных американцев, 0,14 % азиатов, 1,26 % — других рас США и 0,56 % приходится на две или более других рас.","Расовый состав населения: девяносто семь целых семьдесят шесть сотых % белых, ноль целых двадцать восемь сотых % коренных американцев, ноль целых четырнадцать сотых % азиатов, одна целая двадцать шесть сотых % — других рас США и ноль целых пятьдесят шесть сотых % приходится на две или более других рас."
"Испанцы или латиноамериканцы любой расы составляли 1,54 % от популяции тауншипа.",Испанцы или латиноамериканцы любой расы составляли одна целая пятьдесят четыре сотых % от популяции тауншипа.
"Средний размер домохозяйства — 2,54, а семьи — 2,79 человека.","Средний размер домохозяйства — две целых пятьдесят четыре сотых, а семьи — две целых семьдесят девять сотых человека."
"Вместе они на роликах уходят от агентов Секретной службы благодаря тому, что Дэйд заранее подключился к системе управления светофорами и ровно в 9.00 утра его программа вывела их из строя.","Вместе они на роликах уходят от агентов Секретной службы благодаря тому, что Дэйд заранее подключился к системе управления светофорами и ровно в девяти целых ноля сотых утра его программа вывела их из строя."
"На последнем круге Диксон сдержал своего напарника по команде Феликса Розенквиста, и на финише гонщиков разделило всего 0,0934 секунды.","На последнем круге Диксон сдержал своего напарника по команде Феликса Розенквиста, и на финише гонщиков разделило всего ноль целых девятьсот тридцать четыре десятитысячных секунды."
"Она также менее массивна: её масса оценивается 2,5 массы Солнца, вдвое меньше, чем α¹.","Она также менее массивна: её масса оценивается две целых пять десятых массы Солнца, вдвое меньше, чем α¹."
"Максимальная фаза затмения составила 0,60.",Максимальная фаза затмения составила ноль целых шестьдесят сотых.
"Пассажиропоток — 50,8 тыс. чел./сутки.",Пассажиропоток — пятьдесят целых восемь десятых тыс. чел./сутки.
"Занимает площадь 356,264 км².",Занимает площадь трёхсот пятидесяти шести целых двухсот шестидесяти четырёх тысячных км².
"Плотность населения — 12,79 чел./км².",Плотность населения — двенадцать целых семьдесят девять сотых чел./км².
"Среднегодовая температура воздуха — 4,8 °С.",Среднегодовая температура воздуха — четыре целых восемь десятых °С.
"Занимает площадь 0,872 км².",Занимает площадь ноля целых восьмисот семидесяти двух тысячных км².
"Площадь департамента составляет 7540,90 км².",Площадь департамента составляет семи тысяч пятисот сорока целых девяноста сотых км².
"Плотность населения — 16,27 чел./км².",Плотность населения — шестнадцать целых двадцать семь сотых чел./км².
"Во втором туре выборов, в который Зеленский вышел вместе с Петром Порошенко, он набрал, согласно окончательным результатам ЦИК Украины, 73,22 % голосов (13,5 млн голосов избирателей).","Во втором туре выборов, в который Зеленский вышел вместе с Петром Порошенко, он набрал, согласно окончательным результатам ЦИК Украины, семьдесят три целых двадцать две сотых % голосов (тринадцать целых пять десятых млн голосов избирателей)."
"Мандзони Роза (Мандзони 1.50), полученный скрещиванием Треббиано × Траминер Ароматико.","Мандзони Роза (Мандзони одна целая пятьдесят сотых), полученный скрещиванием Треббиано × Траминер Ароматико."
"Мандзони 2.14, Глера × Каберне-фран.","Мандзони две целых четырнадцать сотых, Глера × Каберне-фран."
"Мандзони Россо (Мандзони 2.15), Глера × Каберне-фран.","Мандзони Россо (Мандзони две целых пятнадцать сотых), Глера × Каберне-фран."
"Августа (Мандзони 3.25), Афус Али × Лульенга.","Августа (Мандзони три целых двадцать пять сотых), Афус Али × Лульенга."
"Длина улицы — около 1,7 км.",Длина улицы — около одной целой семи десятых км.
"Среднегодовая температура — 2,1 °C.",Среднегодовая температура — две целых одна десятая °C.
"Среднегодовая температура воздуха +21,97 °С.",Среднегодовая температура воздуха двадцать одна целая девяносто семь сотых °С.
"Среднегодовая скорость ветра — 5,2 м/сек.",Среднегодовая скорость ветра — пять целых две десятых м/сек.
"Среднегодовая температура воздуха — 3,8 °C.",Среднегодовая температура воздуха — три целых восемь десятых °C.
"Среднегодовая температура воздуха — 2,6 °C.",Среднегодовая температура воздуха — две целых шесть десятых °C.
"В первом виде она пробилась в четверть финал, где показала результат 11,85 с и выбыла из борьбы за медали.","В первом виде она пробилась в четверть финал, где показала результат одиннадцатью целых восемьюдесятью пятью сотых с и выбыла из борьбы за медали."
"В коротком спринте Кларк пробилась в четвертьфинал, где преодолела дистанцию за 11,47 и выбыла из дальнейшей борьбы.","В коротком спринте Кларк пробилась в четвертьфинал, где преодолела дистанцию за одиннадцать целых сорок семь сотых и выбыла из дальнейшей борьбы."
"В эстафете команда Багамских Островов (Элдис Кларк-Льюис, Чандра Старрап, Саватида Файнс, Полин Дэвис-Томпсон), за которую Кларк бежала на первом этапе, завоевала серебряные медали (42,14 с), уступив команде США (41,95 с) и опередив команду Ямайки (42,24 с).","В эстафете команда Багамских Островов (Элдис Кларк-Льюис, Чандра Старрап, Саватида Файнс, Полин Дэвис-Томпсон), за которую Кларк бежала на первом этапе, завоевала серебряные медали (сорока двумя целых четырнадцатью сотых с), уступив команде США (сорок одна целая девяносто пять сотых с) и опередив команду Ямайки (сорок две целых двадцать четыре сотых с)."
"Диаметр купола — 35,6 метров.",Диаметр купола — тридцать пять целых шесть десятых метров.
Согласно декларации у двоих детей в безвозмездном пользовании квартира 153.4 м².,Согласно декларации у двоих детей в безвозмездном пользовании квартира сто пятьдесят три целых четыре десятых м².
"Среднегодовая температура воздуха — +1,8 °C.",Среднегодовая температура воздуха — одна целая восемь десятых °C.
"Финским языком в качестве родного владели 94,94 %, шведским — 5,06 % населения района.","Финским языком в качестве родного владели девяносто четыре целых девяносто четыре сотых %, шведским — пять целых шесть сотых % населения района."
"В одиннадцатой пятилетке колхоз превратился в крупное зерновое хозяйство — урожайность зерновых составила 34,7 центнера с гектара.",В одиннадцатой пятилетке колхоз превратился в крупное зерновое хозяйство — урожайность зерновых составила тридцать четыре целых семь десятых центнера с гектара.
"Среднегодовая температура воздуха — 3,3 °С.",Среднегодовая температура воздуха — три целых три десятых °С.
"Занимает площадь 10,14 км².",Занимает площадь десяти целых четырнадцати сотых км².
"(= Politische Studien 1977,4).",(= Politische Studien одна тысяча девятьсот семьдесят семь целых четыре десятых).
"Alfons Goppel, 1.10.1995 bis 24.12.1991; biographische Notizen.","Alfons Goppel, 1.10.1995 bis 24.12.1991; biographische Notizen."
"Это составляет всего лишь чуть более 0,03 % населения страны.",Это составляет всего лишь чуть более ноль целых три сотых % населения страны.
"В день премьерного показа на немецком телеканале ZDF фильм «Тайны китов» привлёк более 6,5 миллионов зрителей.",В день премьерного показа на немецком телеканале ZDF фильм «Тайны китов» привлёк более шесть целых пять десятых миллионов зрителей.
"Округ занимает площадь 4396,4 км2.",Округ занимает площадь четырёх тысячи трёхсот девяноста шести целых четырёх десятых км2.
"Плотность населения составляла 11,7 человек на квадратный километр.",Плотность населения составляла одиннадцати целых семи десятых человек на квадратный километр.
"Из восьми кандидатов он занял второе место с 20,1 % голосов.",Из восьми кандидатов он занял второе место с двадцать целых одна десятая % голосов.
“Заслуженный деятель науки Российской Федерации”.,“Заслуженный деятель науки Российской Федерации”.
"Среднегодовая температура — 1,5 °C.",Среднегодовая температура — одна целая пять десятых °C.
"Занимает площадь 1,708 км².",Занимает площадь одной целой семисот восьми тысячных км².
"3,8 тыс. чел.;",три целых восемь десятых тыс. чел.;
"20.03 Риддеркерт, турнир (Е. ван Вугт)","двадцать целых три сотых Риддеркерт, турнир (Е. ван Вугт)"
08.02.,восемь целых две сотых.
17.06.,семнадцать целых шесть сотых.
22.06.,двадцать две целых шесть сотых.
"В «Отступлении десяти тысяч» он оценивает численность вражеского войска в 1,2 миллиона, не считая колесниц.","В «Отступлении десяти тысяч» он оценивает численность вражеского войска в одну целую две десятых миллиона, не считая колесниц."
"{\displaystyle f(x)\equiv \chi _{\mathbb {Q} _{[0,1]}}(x)}","{\displaystyle f(x)\equiv \chi _{\mathbb {Q} _{[0,1]}}(x)}"
"{\displaystyle ([0,1],{\mathcal {B}}([0,1]),m)}","{\displaystyle ([ноль целых одна десятая],{\mathcal {B}}([ноль целых одна десятая]),m)}"
"{\displaystyle {\mathcal {B}}([0,1])}","{\displaystyle {\mathcal {B}}([0,1])}"
"{\displaystyle [0,1]}",{\displaystyle [ноль целых одна десятая]}
"{\displaystyle [0,1]}",{\displaystyle [ноль целых одна десятая]}
"В этом же году на территории предприятия введена в эксплуатацию первая газотурбинная теплоэлектростанция ГТЭС-2,5 электрической мощностью 2,5 МВт, тепловой мощностью 3,87 Гкал.","В этом же году на территории предприятия введена в эксплуатацию первая газотурбинная теплоэлектростанция ГТЭС-две целых пять десятых электрической мощностью две целых пять десятых МВт, тепловой мощностью трёх целых восьмидесяти семи сотых Гкал."
"ГТЭС-2,5;",ГТЭС-две целых пять десятых;
"ГПА-6,3/8РМ;","ГПА-6,3/8РМ;"
"По данным Бюро переписи США, общая площадь города равняется 78,59 км², из которых 78,56 км² составляет суша и 0,03 км² — водные объекты (0,04 %).","По данным Бюро переписи США, общая площадь города равняется семидесяти восьми целых пятидесяти девяти сотых км², из которых семидесяти восьми целых пятидесяти шести сотых км² составляет суша и ноль целых три сотых км² — водные объекты (ноль целых четыре сотых %)."
"Плотность населения — 63,3 чел. на один квадратный километр.",Плотность населения — шестьдесят три целых три десятых чел. на один квадратный километр.
"Расовый состав населения: белые — 71,2 %, чёрные или афроамериканцы — 23,49 %, испаноязычные или латиноамериканцы — 1,17 % и представители других рас — 4,14 %.","Расовый состав населения: белые — семьдесят одна целая две десятых %, чёрные или афроамериканцы — двадцать три целых сорок девять сотых %, испаноязычные или латиноамериканцы — одна целая семнадцать сотых % и представители других рас — четыре целых четырнадцать сотых %."
"Доля населения, находящегося за чертой бедности, — 7,4 %.","Доля населения, находящегося за чертой бедности, — семь целых четыре десятых %."
"сельское хозяйство — 4,0 %",сельское хозяйство — четыре целых ноль десятых %
"промышленность — 14,0 %",промышленность — четырнадцать целых ноль десятых %
"строительство — 4,0 %",строительство — четыре целых ноль десятых %
"торговля, транспорт и сфера услуг — 15,2 %","торговля, транспорт и сфера услуг — пятнадцать целых две десятых %"
"Крепость занимает площадь в 1,5 гектара.",Крепость занимает площадь в одну целую пять десятых гектара.
"Соседняя небольшая зальная церковь имеет размеры 4,7 на 3,7 метров и построена из булыжника.",Соседняя небольшая зальная церковь имеет размеры четыре целых семь десятых на трёх целых семи десятых метров и построена из булыжника.
"При написании этой статьи использовался материал статьи «Малоросійське таємне товариство» (автор І. І. Глизь) из издания «Энциклопедия истории Украины», доступного по лицензии Creative Commons BY-SA 3.0 Unported.","При написании этой статьи использовался материал статьи «Малоросійське таємне товариство» (автор І. І. Глизь) из издания «Энциклопедия истории Украины», доступного по лицензии Creative Commons BY-SA 3.0 Unported."
"Занимает площадь 36,71 км².",Занимает площадь тридцати шести целых семидесяти одной сотой км².
медаль «Партизану Отечественной войны»,медаль «Партизану Отечественной войны»
"В среднем более 1,2 млн человек приезжают в Буэнос-Айрес на работу из соседних городов в течение каждой недели.",В среднем более одна целая две десятых млн человек приезжают в Буэнос-Айрес на работу из соседних городов в течение каждой недели.
"Это количество соответствует 47,7 % от общего числа рабочих мест, зарегистрированных в федеральной столице.","Это количество соответствует сорок семь целых семь десятых % от общего числа рабочих мест, зарегистрированных в федеральной столице."
"Так, гены современных жителей столицы довольно смешаны по сравнению с белыми европейцами: в среднем гены жители столицы на 71,2 % европейские, на 23,5 % индейские и на 5,3 % африканские.","Так, гены современных жителей столицы довольно смешаны по сравнению с белыми европейцами: в среднем гены жители столицы на семьдесят одна целая две десятых % европейские, на двадцать три целых пять десятых % индейские и на пять целых три десятых % африканские."
"Ситуация для населения, проживающего в пригородах выглядит более проблемной, хотя все жители имеют водопровод, 99,5 % получают электричество, 93,1 % домов имеют уличное освещение, у 87,8 % населения вывозят мусор.","Ситуация для населения, проживающего в пригородах выглядит более проблемной, хотя все жители имеют водопровод, девяносто девять целых пять десятых % получают электричество, девяносто три целых одна десятая % домов имеют уличное освещение, у восемьдесят семь целых восемь десятых % населения вывозят мусор."
"На сегодняшний день в эксплуатацию введено шесть линий, длина самой протяжённой из которых, линии «B», составляет 11,8 км.","На сегодняшний день в эксплуатацию введено шесть линий, длина самой протяжённой из которых, линии «B», составляет одиннадцати целых восьми десятых км."
"По статистике, бесплатными медицинскими услугами пользуются 55,6 % населения, проживающего в городе, а также 41,2 % жителей провинции Буэнос-Айрес и 3,2 % жителей других городов.","По статистике, бесплатными медицинскими услугами пользуются пятьдесят пять целых шесть десятых % населения, проживающего в городе, а также сорок одна целая две десятых % жителей провинции Буэнос-Айрес и три целых две десятых % жителей других городов."
"В результате, очень низкий естественный прирост населения составил 4,6 ‰ в год (0,46 %), аналогично тому, которое наблюдалось в странах Европы.","В результате, очень низкий естественный прирост населения составил четыре целых шесть десятых ‰ в год (ноль целых сорок шесть сотых %), аналогично тому, которое наблюдалось в странах Европы."
"Видна невооружённым глазом, обладает видимой звёздной величиной +4,29.","Видна невооружённым глазом, обладает видимой звёздной величиной четырьмя целых двадцатью девятью сотых."
"Среднегодовая температура воздуха — 2,6 °C.",Среднегодовая температура воздуха — две целых шесть десятых °C.
"Среднегодовая температура — 5,5 °C.",Среднегодовая температура — пять целых пять десятых °C.
"Население составляет 1,46 млрд чел.",Население составляет одна целая сорок шесть сотых млрд чел.
"18,2 % населения Земли) и, таким образом, сравнимо с самыми населёнными государствами мира — Китаем и Индией.","восемнадцать целых две десятых % населения Земли) и, таким образом, сравнимо с самыми населёнными государствами мира — Китаем и Индией."
"Африка занимает площадь 30,3 млн км².",Африка занимает площадь тридцать целых три десятых млн км².
"Средняя плотность населения Африки составляет 30,5 чел./км² — это значительно меньше, чем в Европе и Азии.","Средняя плотность населения Африки составляет тридцати целых пяти десятых чел./км² — это значительно меньше, чем в Европе и Азии."
"В настоящее время, по данным ООН, общий коэффициент рождаемости в Африке по-прежнему составляет 4,4 ребёнка на женщину.","В настоящее время, по данным ООН, общий коэффициент рождаемости в Африке по-прежнему составляет четыре целых четыре десятых ребёнка на женщину."
"Среднегодовая температура воздуха — 7,7 °C.",Среднегодовая температура воздуха — семь целых семь десятых °C.
"Нижняя часть храма опоясана с трёх сторон корпусами бывшего монастыря, благодаря чему выделяется его верхняя часть с двумя невысокими башнями (36,3 м), четырьмя фронтонами и куполом с фонарём над центральным нефом.","Нижняя часть храма опоясана с трёх сторон корпусами бывшего монастыря, благодаря чему выделяется его верхняя часть с двумя невысокими башнями (тридцать шесть целых три десятых м), четырьмя фронтонами и куполом с фонарём над центральным нефом."
"Ансамбль храма и монастыря занимает обширный участок земли между улицами Доминикону (Dominikonų g.), Швянто Игното (Švento Ignoto g.) и Вильняус (Vilniaus g.) общей площадью 5,6 га.","Ансамбль храма и монастыря занимает обширный участок земли между улицами Доминикону (Dominikonų g.), Швянто Игното (Švento Ignoto g.) и Вильняус (Vilniaus g.) общей площадью пяти целых шести десятых га."
"Занимает площадь 26,25 км².",Занимает площадь двадцати шести целых двадцати пяти сотых км².
"Река берёт начало из болота Уккозерский Мох на высоте 98,0 м над уровнем моря и далее течёт преимущественно в северо-северо-западном направлении по заболоченной местности.",Река берёт начало из болота Уккозерский Мох на высоте девяноста восьми целых ноля десятых м над уровнем моря и далее течёт преимущественно в северо-северо-западном направлении по заболоченной местности.
"На проведение выборов губернатора в бюджете Ростовской области предусмотрено 385,8 млн руб.",На проведение выборов губернатора в бюджете Ростовской области предусмотрено триста восемьдесят пять целых восемь десятых млн руб.
"Открытые водные пространства занимают 0,31 км², что составляет 0,02% от общей площади округа в 1781,2 км².","Открытые водные пространства занимают ноля целых тридцати одной сотой км², что составляет ноль целых две сотых% от общей площади округа в одну тысячу семьсот восемьдесят одну целую две десятых км²."
"афроамериканцы — 0,2%",афроамериканцы — ноль целых две десятых%
"коренные американцы — 0,3%",коренные американцы — ноль целых три десятых%
"азиаты — 0,4%",азиаты — ноль целых четыре десятых%
"прочие расы — 4,7%",прочие расы — четыре целых семь десятых%
"две и более расы — 1,4%",две и более расы — одна целая четыре десятых%
"латиноамериканцы (любой расы) — 11,8%",латиноамериканцы (любой расы) — одиннадцать целых восемь десятых%
"Среднегодовая температура — 5,1 °C.",Среднегодовая температура — пять целых одна десятая °C.
"Все температурные значения в таблицах представлены в градусах Цельсия (°C) и точность их измерения составляет 0,1 °C (одна десятая градуса Цельсия).",Все температурные значения в таблицах представлены в градусах Цельсия (°C) и точность их измерения составляет ноль целых одна десятая °C (одна десятая градуса Цельсия).
"В тот день столбик термометра опустился до отметки −39,1 °C.",В тот день столбик термометра опустился до отметки −тридцати девяти целых одной десятой °C.
"В конечном счете было продано более 100,000 копий.",В конечном счете было продано более сто целых ноля тысячных копий.
"Среднегодовая температура воздуха — 2,3 °С.",Среднегодовая температура воздуха — две целых три десятых °С.
"Среднегодовая температура воздуха — 3,6 °C.",Среднегодовая температура воздуха — три целых шесть десятых °C.
"Среднегодовая температура — 4,4 °C.",Среднегодовая температура — четыре целых четыре десятых °C.
"Среднегодовая температура воздуха — 2,4 °С.",Среднегодовая температура воздуха — две целых четыре десятых °С.
"Состояние невесомости на МКС возникает не из-за «отсутствия гравитации», а за счёт движения по круговой орбите с первой космической скоростью, то есть космонавты как бы постоянно «падают вперёд» со скоростью 7,9 км/с.","Состояние невесомости на МКС возникает не из-за «отсутствия гравитации», а за счёт движения по круговой орбите с первой космической скоростью, то есть космонавты как бы постоянно «падают вперёд» со скоростью семи целых девяти десятых км/с."
"Как не падает МКС, вращаясь по орбите, так и все объекты на МКС не падают на землю.","Как не падает МКС, вращаясь по орбите, так и все объекты на МКС не падают на землю."
"Среднегодовая многолетняя температура воздуха составляет 3,7 °С.",Среднегодовая многолетняя температура воздуха составляет три целых семь десятых °С.
"Средняя многолетняя температура самого холодного месяца (января) составляет −8,7 — −7,9 °С; самого тёплого месяца (июля) — 16,9 — 17,8 °C.",Средняя многолетняя температура самого холодного месяца (января) составляет −восемь целых семь десятых — −семь целых девять десятых °С; самого тёплого месяца (июля) — шестнадцать целых девять десятых — семнадцать целых восемь десятых °C.
"Среднегодовая температура воздуха — 3,8 °C.",Среднегодовая температура воздуха — три целых восемь десятых °C.
"Мужчины составляют 48,6 % населения, женщины — 51,4 %.","Мужчины составляют сорок восемь целых шесть десятых % населения, женщины — пятьдесят одна целая четыре десятых %."
"Соотношение полов — 1,092/1,000.",Соотношение полов — одна целая девяносто две тысячных/одна целая ноль тысячных.
"Средний размер семьи — 4,27 чел.",Средний размер семьи — четыре целых двадцать семь сотых чел.
"В трущобах проживает 0,30 % населения города.",В трущобах проживает ноль целых тридцать сотых % населения города.
"Уровень грамотности — 95,5 %.",Уровень грамотности — девяносто пять целых пять десятых %.
"Среднегодовая температура воздуха составляет 4,3 °С.",Среднегодовая температура воздуха составляет четыре целых три десятых °С.
"Средняя температура воздуха самого холодного месяца (января) — −11,4 °C; самого тёплого месяца (июля) — 20,3 °C.",Средняя температура воздуха самого холодного месяца (января) — −одиннадцать целых четыре десятых °C; самого тёплого месяца (июля) — двадцать целых три десятых °C.
"По данным Бюро переписи населения США город имеет общую площадь в 62,08 км² (60,94 км² — суша, 1,14 км² — вода).","По данным Бюро переписи населения США город имеет общую площадь в шестьдесят две целых восемь сотых км² (шестьдесят целых девяносто четыре сотых км² — суша, одна целая четырнадцать сотых км² — вода)."
