q,a
"Среднегодовая температура воздуха — 4,1 °C.",Среднегодовая температура воздуха — четыре целых одна десятая °C.
"Расстояние по автодороге до районного центра Вытегры — 33,5 км, до центра муниципального образования села Андомский Погост — 1,5 км.","Расстояние по автодороге до районного центра Вытегры — тридцать три целых пять десятых км, до центра муниципального образования села Андомский Погост — одна целая пять десятых км."
"Занимает площадь 1,046 км².",Занимает площадь одной целой сорока шести тысячных км².
"Годовая убыль населения — 0,5 % (высокий уровень эмиграции из страны).",Годовая убыль населения — ноль целых пять десятых % (высокий уровень эмиграции из страны).
"43,5 % — индийцы;",сорок три целых пять десятых % — индийцы;
"30,2 % — афро-гайанцы;",тридцать целых две десятых % — афро-гайанцы;
"16,7 % — смешанного происхождения (метисы и мулаты);",шестнадцать целых семь десятых % — смешанного происхождения (метисы и мулаты);
"9,1 % — индейцы;",девять целых одна десятая % — индейцы;
"0,4 % — другие (португальцы, китайцы, арабы).","ноль целых четыре десятых % — другие (португальцы, китайцы, арабы)."
Языки:,Языки:
"Христианство — 57,4 %:",Христианство — пятьдесят семь целых четыре десятых %:
"пятидесятники — 16,9 % (Ассамблеи Бога и др.);",пятидесятники — шестнадцать целых девять десятых % (Ассамблеи Бога и др.);
"католики — 8,1 %;",католики — восемь целых одна десятая %;
"англикане — 6,9 %;",англикане — шесть целых девять десятых %;
"методисты — 1,7 %;",методисты — одна целая семь десятых %;
"свидетели Иеговы — 1,1 %;",свидетели Иеговы — одна целая одна десятая %;
"другие христиане — 17,7 %;",другие христиане — семнадцать целых семь десятых %;
"Индуизм — 28,4 %;",Индуизм — двадцать восемь целых четыре десятых %;
"Ислам — 7,2 %;",Ислам — семь целых две десятых %;
"атеисты — 4,3 %;",атеисты — четыре целых три десятых %;
"прочие — 2,7 %.",прочие — две целых семь десятых %.
"Таким образом было подготовлено к эвакуации только 7,5 тысячи живописных работ.",Таким образом было подготовлено к эвакуации только семь целых пять десятых тысячи живописных работ.
"Среднегодовая температура воздуха — +3,5 °C.",Среднегодовая температура воздуха — три целых пять десятых °C.
"Среднегодовая скорость ветра — 4,7 м/с.",Среднегодовая скорость ветра — четыре целых семь десятых м/с.
"Активы фонда оцениваются в 1,5 млрд долларов.",Активы фонда оцениваются в одна целая пять десятых млрд долларов.
"Длина от 1,6 до 2,1 мм, переднее крыло до 2,3 мм.","Длина от одной целой шести десятых до двух целых одной десятой мм, переднее крыло до двух целых трёх десятых мм."
"Среднегодовая температура — 4,9 °C.",Среднегодовая температура — четыре целых девять десятых °C.
"Административный центр — деревня Слохтерен (с населением около 2,5 тыс.жителей).",Административный центр — деревня Слохтерен (с населением около двух целых пяти десятых тыс.жителей).
"Жемчужный астрильд достигает длины до 12,5 см.",Жемчужный астрильд достигает длины до двенадцати целых пяти десятых см.
"У самца верхушка головы, спина и крылья красновато-бурые.","У самца верхушка головы, спина и крылья красновато-бурые."
"Занимает площадь 3,144 км².",Занимает площадь трёх целых сто сорока четырёх тысячных км².
"Среднегодовая температура воздуха — 4,5 °C.",Среднегодовая температура воздуха — четыре целых пять десятых °C.
В некоторых версиях игры противник может сдаться (эта возможность была возвращена в версии 1.02).,В некоторых версиях игры противник может сдаться (эта возможность была возвращена в версии одну целую две сотых).
В патче 1.01 была добавлена возможность продолжить игру после потопления «Черной Жемчужины».,В патче одной целой одной сотой была добавлена возможность продолжить игру после потопления «Черной Жемчужины».
"Патч 1.02 возвращает в игру некоторые возможности: сдачу в плен вражеского капитана и команды, потерю мачт в морском бою.","Патч одна целая две сотых возвращает в игру некоторые возможности: сдачу в плен вражеского капитана и команды, потерю мачт в морском бою."
В патче 1.03 корабли управляемые АИ теперь более точно анализируют ситуацию.,В патче одной целой трёх сотых корабли управляемые АИ теперь более точно анализируют ситуацию.
"Среднегодовая температура — 2,7 °C.",Среднегодовая температура — две целых семь десятых °C.
"В расовом отношении белые и метисы составляли 99,9 % от населения города; негры, мулаты и райсальцы — 0,1 %.","В расовом отношении белые и метисы составляли девяносто девять целых девять десятых % от населения города; негры, мулаты и райсальцы — ноль целых одна десятая %."
"Уровень грамотности среди всего населения составлял 87,2 %.",Уровень грамотности среди всего населения составлял восемьдесят семь целых две десятых %.
"56,6 % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, 32,5 % — предприятия сферы обслуживания, 8,4 % — промышленные предприятия, 2,5 % — предприятия иных отраслей экономики.","пятьдесят шесть целых шесть десятых % от общего числа городских и муниципальных предприятий составляют предприятия торговой сферы, тридцать две целых пять десятых % — предприятия сферы обслуживания, восемь целых четыре десятых % — промышленные предприятия, две целых пять десятых % — предприятия иных отраслей экономики."
"Занимает площадь 771,77 км².",Занимает площадь семисот семидесяти одной целой семидесяти семи сотых км².
"Её длина составляет 27,1 км, из которых 25,4 км проложены по эстакадам.","Её длина составляет двадцати семи целых одной десятой км, из которых двадцать пять целых четыре десятых км проложены по эстакадам."
"Занимает площадь 101,6 км².",Занимает площадь сто одной целой шести десятых км².
"В «Стране Игр» была принята десятибалльная система оценок с шагом в 0,5 балла.",В «Стране Игр» была принята десятибалльная система оценок с шагом в ноль целых пять десятых балла.
https://web.archive.org/web/20110720112751/http://training.ce.washington.edu/WSDOT/Modules/07_construction/07-2_body.htm глава 2.2.3.2 Milling,https://web.archive.org/web/20110720112751/http://training.ce.washington.edu/WSDOT/Modules/07_construction/07-2_body.htm глава 2.2.3.2 Milling
"Среднегодовая температура воздуха — 2,5 °С.",Среднегодовая температура воздуха — две целых пять десятых °С.
"Средняя температура воздуха самого тёплого месяца (июля) — 18,7 °C; самого холодного (января) — −14,2 °C.",Средняя температура воздуха самого тёплого месяца (июля) — восемнадцать целых семь десятых °C; самого холодного (января) — −четырнадцать целых две десятых °C.
"Наиболее раннее погребение Homo Sapiens, обнаруженное археологами в Африке, датируется 78,3±4,1 тысяч лет назад.","Наиболее раннее погребение Homo Sapiens, обнаруженное археологами в Африке, датируется семьдесят восемь целых три десятых±четыре целых одна десятая тысяч лет назад."
"Занимает площадь 95,02 км².",Занимает площадь девяноста пяти целых двух сотых км².
"Непосредственно на нижней панели находится mini-USB порт, слот для карты памяти стандарта microSD, разъемы для подключения зарядного устройства и наушников (3,5 мм).","Непосредственно на нижней панели находится mini-USB порт, слот для карты памяти стандарта microSD, разъемы для подключения зарядного устройства и наушников (три целых пять десятых мм)."
