q,a
"Библиотека Кёпрюлю работает с 08:00 до 17:00, кроме понедельника и воскресенья.","Библиотека Кёпрюлю работает с восьми часов ноля минут до семнадцати часов ноля минут, кроме понедельника и воскресенья."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Я тебя не нашёл (Уже) — 4:17,Я тебя не нашёл (Уже) — четыре часа семнадцать минут
Четверо парней — 4:00,Четверо парней — четыре часа ноль минут
Пусть тебе приснится — 4:44,Пусть тебе приснится — четыре часа сорок четыре минуты
Но это так (Бегунов — Шахрин) — 5:45,Но это так (Бегунов — Шахрин) — пять часов сорок пять минуты
Город мой — 4:17,Город мой — четыре часа семнадцать минут
17 лет — 4:30,семнадцать лет — четыре часа тридцать минут
Джип-бип-папа — 3:13,Джип-бип-папа — три часа тринадцать минут
Давай просто уйдём — 5:09,Давай просто уйдём — пять часов девять минут
Антипаровозная — 3:58,Антипаровозная — три часа пятьдесят восемь минут
Песня рыб — 0:30,Песня рыб — ноль часов тридцать минут
Тайный знак — 4:05,Тайный знак — четыре часа пять минут
Для меня (Похмельная) — 5:36,Для меня (Похмельная) — пять часов тридцать шесть минут
02.05.2005) и Феликс Уотсон (род.,второго мая две тысячи пятого года) и Феликс Уотсон (род.
13.11.2007).,тринадцатого ноября две тысячи седьмого года).
Постановлением Главы администрации города Нальчика от 18.01.1993 г. № 43 переименована в среднюю общеобразовательную школу № 6 города Нальчика.,Постановлением Главы администрации города Нальчика от восемнадцатого января тысяча девятьсот девяносто третьего года г. № сорок три переименована в среднюю общеобразовательную школу № шесть города Нальчика.
Распоряжением Департамента управления городским имуществом от 16.05.2000 г. № 311 переименована в Нальчикскую среднюю школу № 6.,Распоряжением Департамента управления городским имуществом от шестнадцатого мая двухтысячного года г. № тристо одиннадцать переименована в Нальчикскую среднюю школу № шесть.
Приказом Департамента образования и науки администрации г. Нальчика от 22.08.2003 г. № 212 переименована в муниципальное образовательное учреждение «Средняя общеобразовательная школа № 6 с углубленным изучением отдельных предметов» города Нальчика.,Приказом Департамента образования и науки администрации г. Нальчика от двадцать второго августа две тысячи третьего года г. № двести двенадцать переименована в муниципальное образовательное учреждение «Средняя общеобразовательная школа № шесть с углубленным изучением отдельных предметов» города Нальчика.
Приказом Департамента образования и науки администрации г. Нальчика от 18.04.2006 г. № 349 «О наименовании муниципальных образовательных учреждений города Нальчика» переименована в муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 6 с углубленным изучением отдельных предметов» города Нальчика Кабардино-Балкарской Республики.,Приказом Департамента образования и науки администрации г. Нальчика от восемнадцатого апреля две тысячи шестого года г. № тристо сорок девять «О наименовании муниципальных образовательных учреждений города Нальчика» переименована в муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № шесть с углубленным изучением отдельных предметов» города Нальчика Кабардино-Балкарской Республики.
Приказом Департамента образования местной администрации г.о.,Приказом Департамента образования местной администрации г.о.
Нальчик от 21.01.2010 г. № 16 «О внесении изменений в уставы общеобразовательных учреждений» — «Средняя общеобразовательная школа № 6 с углубленным изучением отдельных предметов» городского округа Нальчик Кабардино-Балкарской Республики.,Нальчик от двадцать первого января две тысячи десятого года г. № шестнадцать «О внесении изменений в уставы общеобразовательных учреждений» — «Средняя общеобразовательная школа № шесть с углубленным изучением отдельных предметов» городского округа Нальчик Кабардино-Балкарской Республики.
Постановлением Местной администрации г.о.,Постановлением Местной администрации г.о.
Прекратил вещание 1 ноября 2015 года в 6:00 по московскому времени.,Прекратил вещание первого ноября две тысячи пятнадцатого года в шесть часов ноль минут по московскому времени.
12 июня 2003 года в 7:55 мск ВГТРК запустила телеканал под названием «Спорт».,двенадцатого июня две тысячи третьего года в семь часов пятьдесят пять минуты мск ВГТРК запустила телеканал под названием «Спорт».
22 июня 2003 года в 0:25 телеканал «Спорт» занял частоту ЗАО «Шестой телеканал» (вещавшего под брендом «ТВС»).,двадцать второго июня две тысячи третьего года в ноль часов двадцать пять минуты телеканал «Спорт» занял частоту ЗАО «Шестой телеканал» (вещавшего под брендом «ТВС»).
"Официально канал прекратил вещание 1 ноября 2015 года в 6:00 по московскому времени, спустя полчаса на его частоте началось вещание телеканала «Матч ТВ» (в это время шёл обратный отсчёт до начала его вещания).","Официально канал прекратил вещание первого ноября две тысячи пятнадцатого года в шесть часов ноль минут по московскому времени, спустя полчаса на его частоте началось вещание телеканала «Матч ТВ» (в это время шёл обратный отсчёт до начала его вещания)."
"5 апреля: Бразилия — Чили 3:0 (15:1, 15:8, 15:8).","Пятое апреля: Бразилия — Чили три:ноль (пятнадцать:один, пятнадцать:восемь, пятнадцать:восемь)."
"6 апреля: Уругвай — Парагвай 3:0 (15:9, 15:6, 15:7).","Шестое апреля: Уругвай — Парагвай три:ноль (пятнадцать:девять, пятнадцать:шесть, пятнадцать:семь)."
"7 апреля: Венесуэла — Чили 3:0 (17:15, 15:10, 15:3).","Седьмое апреля: Венесуэла — Чили три:ноль (семнадцать:пятнадцать, пятнадцать:десять, пятнадцать:три)."
"8 апреля: Венесуэла — Уругвай 3:0 (15:3, 15:5, 15:1);","Восьмое апреля: Венесуэла — Уругвай три:ноль (пятнадцать:три, пятнадцать:пять, пятнадцать:один);"
"Бразилия — Парагвай 3:0 (15:4, 15:5, 15:4).","Бразилия — Парагвай три:ноль (пятнадцать:четыре, пятнадцать:пять, пятнадцать:четыре)."
"10 апреля: Венесуэла — Парагвай 3:0 (15:1, 15:5, 15:5);","Десятое апреля: Венесуэла — Парагвай три:ноль (пятнадцать:один, пятнадцать:пять, пятнадцать:пять);"
"Бразилия — Уругвай 3:0 (15:5, 15:4, 15:11).","Бразилия — Уругвай три:ноль (пятнадцать:пять, пятнадцать:четыре, пятнадцать:одиннадцать)."
"12 апреля: Бразилия — Венесуэла 3:0 (15:2, 15:7, 15:10).","Двенадцатое апреля: Бразилия — Венесуэла три:ноль (пятнадцать:два, пятнадцать:семь, пятнадцать:десять)."
"В 18:02 с 5 членами экипажа и 44 пассажирами на борту рейс RW706 вылетел из аэропорта Лос-Анджелес и сперва перешёл на связь с Лос-Анджелес-контроль, а в 18:06 — Лос-Анджелес-центр.","В восемнадцать часов две минуты с пятью членами экипажа и сорока четырьмя пассажирами на борту рейс RW семьсот шесть вылетел из аэропорта Лос-Анджелес и сперва перешёл на связь с Лос-Анджелес-контроль, а в восемнадцать часов шесть минут — Лос-Анджелес-центр."
"В 18:09 экипаж доложил о прохождении высоты 3657 метров, на что диспетчер сообщил: Эйр Вест семь ноль шесть красный, поворот налево, курс ноль четыре ноль, сохранять направление до достижения Даггетта.","В восемнадцать часов девять минут экипаж доложил о прохождении высоты три тысячи шестьсот пятьдесят семь метров, на что диспетчер сообщил: Эйр Вест семь ноль шесть красный, поворот налево, курс ноль четыре ноль, сохранять направление до достижения Даггетта."
После дозаправки экипаж истребителя подал очередной план полёта по ПВП ниже зоны точного контроля и временем вылета из Фаллона в 14:00.,После дозаправки экипаж истребителя подал очередной план полёта по ПВП ниже зоны точного контроля и временем вылета из Фаллона в четырнадцать часов ноль минут.
"Но так как на авиабазе Эль-Торо проходило авиашоу и она была закрыта до 16:30, вылет был отложен до 17:16.","Но так как на авиабазе Эль-Торо проходило авиашоу и она была закрыта до шестнадцати часов тридцати минут, вылет был отложен до семнадцати часов шестнадцати минут."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Знаменитый художник стал первым, кому посчастливилось увидеть новый Volvo S60 (недоступная ссылка) // Volvocars.com, 26.10.2009","Знаменитый художник стал первым, кому посчастливилось увидеть новый Volvo S шестьдесят (недоступная ссылка) // Volvocars.com, двадцать шестого октября две тысячи девятого года"
с 23.07.1942 по 29.10.1942 года.,с двадцать третьего июля тысяча девятьсот сорок второго года по двадцать девятое октября тысяча девятьсот сорок второго года.
с 22.12.1942 по 19.09.1943 года.,с двадцать второго декабря тысяча девятьсот сорок второго года по девятнадцатое сентября тысяча девятьсот сорок третьего года.
"Кузнецов Георгий Яковлевич, подполковник, ид, 08.03.1942 - 09.04.1942 года.","Кузнецов Георгий Яковлевич, подполковник, ид, восьмого марта тысяча девятьсот сорок второго года - девятого апреля тысяча девятьсот сорок второго года."
"Кузнецов Георгий Яковлевич, подполковник (08.08.1942 погиб в бою), 09.04.1942 - 08.08.1942 года.","Кузнецов Георгий Яковлевич, подполковник (восьмого августа тысяча девятьсот сорок второго года погиб в бою), девятого апреля тысяча девятьсот сорок второго года - восьмого августа тысяча девятьсот сорок второго года."
"Житнев Павел Семенович, подполковник (07.09.1943 погиб в бою), 09.08.1942 - 07.09.1942 года.","Житнев Павел Семенович, подполковник (седьмого сентября тысяча девятьсот сорок третьего года погиб в бою), девятого августа тысяча девятьсот сорок второго года - седьмого сентября тысяча девятьсот сорок второго  года."
"Городецкий Моисей Исаакович, майор, с 11.01.1943 подполковник, ид, 07.09.1942 - 16.01.1943 года.","Городецкий Моисей Исаакович, майор, с одиннадцатого января тысяча девятьсот сорок третьего года подполковник, ид, седьмого сентября тысяча девятьсот сорок второго года - шестнадцатого января тысяча девятьсот сорок третьего года."
"Городецкий Моисей Исаакович, подполковник (14.02.1943 погиб в бою), 16.01.1943 - 14.02.1943 года.","Городецкий Моисей Исаакович, подполковник (четырнадцатого февраля тысяча девятьсот сорок третьего года погиб в бою), шестнадцатого января тысяча девятьсот сорок третьего года - четырнадцатого февраля тысяча девятьсот сорок третьего года."
"Малов Леонид Иванович, подполковник, ид, 20.02.1943 - 24.06.1943 года.","Малов Леонид Иванович, подполковник, ид, двадцатого февраля тысяча девятьсот сорок третьего года - двадцать четвёртого июня тысяча девятьсот сорок третьего года."
"Малов Леонид Иванович, подполковник (09.08.1943 погиб в бою), 24.06.1943 - 09.08.1943 года.","Малов Леонид Иванович, подполковник (девятого августа тысяча девятьсот сорок третьего года погиб в бою), двадцать четвёртого июня тысяча девятьсот сорок третьего года - девятого августа тысяча девятьсот сорок третьего года."
"Пузанков Григорий Степанович, подполковник, 10.08.1943 - 19.09.1943 года.","Пузанков Григорий Степанович, подполковник, десятого августа тысяча девятьсот сорок третьего года - девятнадцатого сентября тысяча девятьсот сорок третьего года."
"Городецкий Моисей Исаакович, майор, ид, 08.03.1942 - 05.04.1942 года.","Городецкий Моисей Исаакович, майор, ид, восьмого марта тысяча девятьсот сорок второго года - пятого апреля тысяча девятьсот сорок второго года."
"Городецкий Моисей Исаакович, майор, 05.04.1942 - 07.09.1942 года.","Городецкий Моисей Исаакович, майор, пятого апреля тысяча девятьсот сорок второго года - седьмого сентября тысяча девятьсот сорок второго года."
"Малов Леонид Иванович, майор, 07.09.1942 - 10.02.1943 года.","Малов Леонид Иванович, майор, седьмого сентября тысяча девятьсот сорок второго года - десятого февраля тысяча девятьсот сорок третьего года."
"Осипов Андрей Никифорович, майор (10.08.1943 погиб в бою),10.02.1943 - 09.08.1943 года.","Осипов Андрей Никифорович, майор (десятого августа тысяча девятьсот сорок третьего года погиб в бою),десятого февраля тысяча девятьсот сорок третьего года - девятого августа тысяча девятьсот сорок третьего года."
"Бобров Ефим Фомич, подполковник, 09.08.1943 - 23.09.1943 года.","Бобров Ефим Фомич, подполковник, девятого августа тысяча девятьсот сорок третьего года - двадцать третьего сентября тысяча девятьсот сорок третьего года."
"Грозь Михаил Николаевич, батальон. комиссар, 11.08.1942 ст. батальон. комиссар, 05.03.1942 - 11.10.1942 года.","Грозь Михаил Николаевич, батальон. комиссар, одиннадцатого августа тысяча девятьсот сорок второго года ст. батальон. комиссар, пятого марта тысяча девятьсот сорок второго года - одиннадцатого октября тысяча девятьсот сорок второго года."
"Баранов Павел Петрович, батальон. комиссар, 06.11.1942 майор, 11.10.1942 - 09.01.1943 года.","Баранов Павел Петрович, батальон. комиссар, шестого ноября тысяча девятьсот сорок второго года майор, одиннадцатого октября тысяча девятьсот сорок второго года - девятого января тысяча девятьсот сорок третьего года."
"Артемьев Яков Макарович, майор, 09.01.1943 - 14.02.1943 года.","Артемьев Яков Макарович, майор, девятого января тысяча девятьсот сорок третьего года - четырнадцатого февраля тысяча девятьсот сорок третьего года."
"Тептин Иван Иванович, майор, 12.03.1943 - 19.09.1943 года.","Тептин Иван Иванович, майор, двенадцатого марта тысяча девятьсот сорок третьего года - девятнадцатого сентября тысяча девятьсот сорок третьего года."
"Его сын Себастьян так же не захотел идти с ним, поэтом „Пачо“ (Акоста) оставил его здесь, в лавке».","Его сын Себастьян так же не захотел идти с ним, поэтом „Пачо“ (Акоста) оставил его здесь, в лавке»."
"На судебном процессе агент CNI Хуан Хоркера заявил: «Около 18:00 из дома вышел высокий гражданин с усами, по всем характеристикам напоминавший того, кого мы искали.","На судебном процессе агент CNI Хуан Хоркера заявил: «Около восемнадцати часов ноля минут из дома вышел высокий гражданин с усами, по всем характеристикам напоминавший того, кого мы искали."
"Я проследовал за ним в Санта-Розу, откуда он около 19:00 вернулся пешком.","Я проследовал за ним в Санта-Розу, откуда он около девятнадцатя часов ноля минут вернулся пешком."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
"Сигнал SOS c судна был отправлен примерно в 20 километрах от Пёнпхундо в 09:00 по местному времени 16 апреля 2014 года — на место происшествия направили корабли корейской береговой охраны, ВМС и вертолёты.","Сигнал SOS c судна был отправлен примерно в двадцати километрах от Пёнпхундо в девять часов ноль минут по местному времени шестнадцатого апреля две тысячи четырнадцать года — на место происшествия направили корабли корейской береговой охраны, ВМС и вертолёты."
Трёхцветное полотнище флага прямоугольной формы с соотношением сторон 2:3 (ширина к длине).,Трёхцветное полотнище флага прямоугольной формы с соотношением сторон два к трем (ширина к длине).
— 23.04.2004.,— двадцать третьего апреля две тысячи четвёртого года.
"Красноярские активисты своими силами реставрируют церковь — Телесюжет Прима-ТВ, Красноярск, 29.09.2010.","Красноярские активисты своими силами реставрируют церковь — Телесюжет Прима-ТВ, Красноярск, двадцать девятого сентября две тысячи десятого года."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Смещение применяемого времени относительно UTC составляет +5:00.,Смещение применяемого времени относительно UTC составляет +пять часов ноль минут.
"Вестник города Отрадного, № 41, 13.06.2019) отмечает: «Благодаря вхождению в черту Отрадного Осиновки, Васильевки, Привета, Алексеевки, Степана Разина, город сумел набрать численность населения свыше пятидесяти тысяч».","Вестник города Отрадного, № сорок один, тринадцатого июня две тысячи девятнадцатого года) отмечает: «Благодаря вхождению в черту Отрадного Осиновки, Васильевки, Привета, Алексеевки, Степана Разина, город сумел набрать численность населения свыше пятидесяти тысяч»."
Интервью «Cable Guy: An Interview With Actor Mitch Pileggi» (17:36) — интервью-воспоминание о съёмках от исполнителя роли злодея картины.,Интервью «Cable Guy: An Interview With Actor Mitch Pileggi» (семнадцать часов тридцать шесть минут) — интервью-воспоминание о съёмках от исполнителя роли злодея картины.
Интервью «Alison’s Adventures: An Interview With Actress Cami Cooper» (17:12) — интервью-воспоминание о съёмках от ведущей актрисы картины.,Интервью «Alison’s Adventures: An Interview With Actress Cami Cooper» (семнадцать часов двенадцать минут) — интервью-воспоминание о съёмках от ведущей актрисы картины.
Интервью «It’s Alive: An Interview With Producer Shep Gordon» (11:57) — о работе продюсера картины.,Интервью «It’s Alive: An Interview With Producer Shep Gordon» (одиннадцать часов пятьдесят семь минут) — о работе продюсера картины.
Документальный фильм «No More Mr. Nice Guy: The Music Of Shocker» (26:13) о музыкальном сопровождении картины.,Документальный фильм «No More Mr. Nice Guy: The Music Of Shocker» (двадцать шесть:тринадцать) о музыкальном сопровождении картины.
Трейлер и ТВ-ролики (2:32),Трейлер и ТВ-ролики (два часа тридцать две минуты)
Радио-реклама (1:09),Радио-реклама (один час девять минут)
Винтажный видео-ролик о съёмках (8:48),Винтажный видео-ролик о съёмках (восемь часов сорок восемь минут)
Раскадровки (8:55),Раскадровки (восемь часов пятьдесят пять минуты)
Фото со съёмок (6:32),Фото со съёмок (шесть часов тридцать две минуты)
"По данным Национального института статистики, население коммуны, на 01.01.2024 года, составляет 4251 человек, плотность населения ─ 94,31 чел./км².","По данным Национального института статистики, население коммуны, на первого января две тысячи двадцать четвёртого года, составляет четыре тысячи двести пятьдесят один человек, плотность населения ─ девяносто четыре,тридцать один чел./км²."
01.09.1903 года поступил в Морской кадетский корпус воспитанником.,первого сентября тысяча девятьсот третьего года поступил в Морской кадетский корпус воспитанником.
В июне 2010 года на Европейском первенстве в Москве по очкам (5:9) уступил в четвертьфинале венгру Йозефу Дармошу.,В июне две тысячи десять года на Европейском первенстве в Москве по очкам (пять:девять) уступил в четвертьфинале венгру Йозефу Дармошу.
Длина корпуса несколько превышает высоту в холке (10:9).,Длина корпуса несколько превышает высоту в холке (десять:девять).
"ГАЗЕТА «НОВАЯ НЕДЕЛЯ», ВЫПУСК 24.08.2012","ГАЗЕТА «НОВАЯ НЕДЕЛЯ», ВЫПУСК двадцать четвёртого августа две тысячи двенадцатого года"
Смещение применяемого времени относительно UTC составляет +9:00.,Смещение применяемого времени относительно UTC составляет +девять часов ноль минут.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Постановлением Госстандарта России от 27.12.1995 N 640),Постановлением Госстандарта России от двадцать седьмого декабря тысяча девятьсот девяносто пятого года N шестьсот сорок)
Мирсаид Ардуанов скончался 19.04.1959 г.,Мирсаид Ардуанов скончался девятнадцатого апреля тысяча девятьсот пятьдесят девятого года г.
"Его новая команда «Депортес Толима» проигрывала дома «Онсе Кальдасу» со счётом 0:3, и главный тренер «Толимы» Альберто Гамеро выпустил Ибаргуэна на 68-й минуте, и уже через пять минут тот отметился забитым голом.","Его новая команда «Депортес Толима» проигрывала дома «Онсе Кальдасу» со счётом ноль:три, и главный тренер «Толимы» Альберто Гамеро выпустил Ибаргуэна на шестьдесят восьмой минуте, и уже через пять минут тот отметился забитым голом."
"«Депортес Толима» сумела сравнять счёт в этой встрече, завершившейся 3:3.","«Депортес Толима» сумела сравнять счёт в этой встрече, завершившейся три:три."
Медаль «Золотая Звезда» (10.04.1945);,Медаль «Золотая Звезда» (десятого апреля тысяча девятьсот сорок пятого года);
орден Ленина (10.04.1945);,орден Ленина (десятого апреля тысяча девятьсот сорок пятого года);
орден Красной Звезды (15.05.1945);,орден Красной Звезды (пятнадцатого мая тысяча девятьсот сорок пятого года);
24.05.2005  (неопр.).,двадцать четвёртого мая две тысячи пятого года  (неопр.).
Полковник Растворов // Совершенно секретно 01.12.2010,Полковник Растворов // Совершенно секретно первого декабря две тысячи десятого года
"История предателя: ""Он до конца жизни страдал манией преследования"" 21.12.2018","История предателя: ""Он до конца жизни страдал манией преследования"" двадцать первого декабря две тысячи восемнадцатого года"
"Алексей Кириченко, Юрий Тотров Таинственный беглец // Совершенно секретно 01.04.2004","Алексей Кириченко, Юрий Тотров Таинственный беглец // Совершенно секретно первого апреля две тысячи четвёртого года"
орден Ленина (15.11.1950),орден Ленина (пятнадцатого ноября тысяча девятьсот пятидесятого года)
"пять орденов Красного Знамени (24.04.1940,  26.06.1944,   03.11.1944, 19.07.1945, 30.04.1954)","пять орденов Красного Знамени (двадцать четвёртого апреля тысяча девятьсот сорокового года,  двадцать шестого июня тысяча девятьсот сорок четвёртого года,   третьего ноября тысяча девятьсот сорок четвёртого года, девятнадцатого июля тысяча девятьсот сорок пятого года, тридцатого апреля тысяча девятьсот пятьдесят четвёртого года)"
орден Ушакова II степени (04.01.1945),орден Ушакова Второй степени (четвёртого января тысяча девятьсот сорок пятого года)
орден  Отечественной войны I степени (30.04.1944),орден  Отечественной войны Первой степени (тридцатого апреля тысяча девятьсот сорок четвёртого года)
"Там его с лёгкостью обыграл Джон Ньюкомб — матч закончился со счётом 6:3, 6:1, 6:1 в пользу австралийца; возможно, что на столь односторонний результат повлияло то, что Бунгерт был измотан тремя подряд пятисетовыми матчами, сыгранными на пути в финал.","Там его с лёгкостью обыграл Джон Ньюкомб — матч закончился со счётом шесть:три, шесть:один, шесть:один в пользу австралийца; возможно, что на столь односторонний результат повлияло то, что Бунгерт был измотан тремя подряд пятисетовыми матчами, сыгранными на пути в финал."
"Наконец, в 1970 году немцы, в третий раз столкнувшись с Индией в межзональном турнире, одержали убедительную победу со счётом 5:0, а затем в межзональном финале одолели команду Испании, за которую выступали два Маноло — Сантана и Орантес.","Наконец, в тысяча девятьсот семидесятом году немцы, в третий раз столкнувшись с Индией в межзональном турнире, одержали убедительную победу со счётом пять:ноль, а затем в межзональном финале одолели команду Испании, за которую выступали два Маноло — Сантана и Орантес."
"Первый официальный матч он провёл 10 февраля 2018 года против Канады, также выйдя на замену: его команда победила со счётом 29:10, победив второй год подряд на чемпионате двух Америк.","Первый официальный матч он провёл десятого февраля две тысячи восемнадцатого года против Канады, также выйдя на замену: его команда победила со счётом двадцать девять:десять, победив второй год подряд на чемпионате двух Америк."
"Под его руководством команда занимает в чемпионате 5-е место, а также пробивается в финал Кубка, где уступает 1:2 аштаракской «Мике».","Под его руководством команда занимает в чемпионате пятое место, а также пробивается в финал Кубка, где уступает один:два аштаракской «Мике»."
"В 2002 году команда в очередной раз доходит до финального поединка в кубке страны, где она опять проигрывает со счётом 0:2, на этот раз «Пюнику» Ереван, и занимает итоговое 7-е место в турнирной таблице чемпионата.","В две тысячи втором году команда в очередной раз доходит до финального поединка в кубке страны, где она опять проигрывает со счётом ноль:два, на этот раз «Пюнику» Ереван, и занимает итоговое седьмое место в турнирной таблице чемпионата."
Не открывается 28.12.2017,Не открывается двадцать восьмого декабря две тысячи семнадцатого года
Не открывается 28.12.2017,Не открывается двадцать восьмого декабря две тысячи семнадцатого года
формат 4:3,формат четыре к трем
Указом Президиума ВС СССР от 05.11.1931 награждена орденом Красного Знамени.,Указом Президиума ВС СССР от пятого ноября тысяча девятьсот тридцать первого года награждена орденом Красного Знамени.
с 26.11.1941 по 16.02.1942,с двадцать шестого ноября тысяча девятьсот сорок первого года по шестнадцатое февраля тысяча девятьсот сорок второго года
с 17.07.1942 по 23.01.1943,с семнадцатого июля тысяча девятьсот сорок второго года по двадцать третье января тысяча девятьсот сорок третьего года
с 12.02.1943 по 30.04.1943,с двенадцатого февраля тысяча девятьсот сорок третьего года по тридцатое апреля тысяча девятьсот сорок третьего года
с 18.07.1943 по 09.05.1945,с восемнадцатого июля тысяча девятьсот сорок третьего года по девятое мая тысяча девятьсот сорок пятого года
с 26.11.1941 по 16.02.1942 — 2-й гвардейский кавалерийский корпус,с двадцать шестого ноября тысяча девятьсот сорок первого года по шестнадцатое февраля тысяча девятьсот сорок второго года — второй гвардейский кавалерийский корпус
на 01.10.1943 — 2-й гвардейский кавалерийский корпус — Брянский фронт,на первое октября тысяча девятьсот сорок третьего года — второй гвардейский кавалерийский корпус — Брянский фронт
на 01.11.1943 — 2-й гвардейский кавалерийский корпус — 65-я армия- Белорусский фронт,на первое ноября тысяча девятьсот сорок третьего года — второй гвардейский кавалерийский корпус — шестьдесят пять-я армия- Белорусский фронт
на 01.12.1943 — 2-й гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт,на первое декабря тысяча девятьсот сорок третьего года — второй гвардейский кавалерийский корпус — шестьдесят один-я армия — Белорусский фронт
на 01.01.1944 — 2-й гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт,на первое января тысяча девятьсот сорок четвёртого года — второй гвардейский кавалерийский корпус — шестьдесят один-я армия — Белорусский фронт
