q,a
Трёхцветное полотнище флага прямоугольной формы с соотношением сторон 2:3 (ширина к длине).,Трёхцветное полотнище флага прямоугольной формы с соотношением сторон два к трем (ширина к длине).
— 23.04.2004.,— двадцать третьего апреля две тысячи четвёртого года.
"Красноярские активисты своими силами реставрируют церковь — Телесюжет Прима-ТВ, Красноярск, 29.09.2010.","Красноярские активисты своими силами реставрируют церковь — Телесюжет Прима-ТВ, Красноярск, двадцать девятого сентября две тысячи десятого года."
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Смещение применяемого времени относительно UTC составляет +5:00.,Смещение применяемого времени относительно UTC составляет +пять часов ноль минут.
"Вестник города Отрадного, № 41, 13.06.2019) отмечает: «Благодаря вхождению в черту Отрадного Осиновки, Васильевки, Привета, Алексеевки, Степана Разина, город сумел набрать численность населения свыше пятидесяти тысяч».","Вестник города Отрадного, № сорок один, тринадцатого июня две тысячи девятнадцатого года) отмечает: «Благодаря вхождению в черту Отрадного Осиновки, Васильевки, Привета, Алексеевки, Степана Разина, город сумел набрать численность населения свыше пятидесяти тысяч»."
Интервью «Cable Guy: An Interview With Actor Mitch Pileggi» (17:36) — интервью-воспоминание о съёмках от исполнителя роли злодея картины.,Интервью «Cable Guy: An Interview With Actor Mitch Pileggi» (семнадцать часов тридцать шесть минуты) — интервью-воспоминание о съёмках от исполнителя роли злодея картины.
Интервью «Alison’s Adventures: An Interview With Actress Cami Cooper» (17:12) — интервью-воспоминание о съёмках от ведущей актрисы картины.,Интервью «Alison’s Adventures: An Interview With Actress Cami Cooper» (семнадцать часов двенадцать минут) — интервью-воспоминание о съёмках от ведущей актрисы картины.
Интервью «It’s Alive: An Interview With Producer Shep Gordon» (11:57) — о работе продюсера картины.,Интервью «It’s Alive: An Interview With Producer Shep Gordon» (одиннадцать часов пятьдесят семь минуты) — о работе продюсера картины.
Документальный фильм «No More Mr. Nice Guy: The Music Of Shocker» (26:13) о музыкальном сопровождении картины.,Документальный фильм «No More Mr. Nice Guy: The Music Of Shocker» (двадцать шесть:тринадцать) о музыкальном сопровождении картины.
Трейлер и ТВ-ролики (2:32),Трейлер и ТВ-ролики (два часа тридцать два минуты)
Радио-реклама (1:09),Радио-реклама (один час девять минут)
Винтажный видео-ролик о съёмках (8:48),Винтажный видео-ролик о съёмках (восемь часов сорок восемь минуты)
Раскадровки (8:55),Раскадровки (восемь часов пятьдесят пять минуты)
Фото со съёмок (6:32),Фото со съёмок (шесть часов тридцать два минуты)
"По данным Национального института статистики, население коммуны, на 01.01.2024 года, составляет 4251 человек, плотность населения ─ 94,31 чел./км².","По данным Национального института статистики, население коммуны, на первого января две тысячи двадцать четвёртого года, составляет 4251 человек, плотность населения ─ 94,31 чел./км²."
01.09.1903 года поступил в Морской кадетский корпус воспитанником.,первого сентября тысяча девятьсот третьего года поступил в Морской кадетский корпус воспитанником.
В июне 2010 года на Европейском первенстве в Москве по очкам (5:9) уступил в четвертьфинале венгру Йозефу Дармошу.,В июне 2010 года на Европейском первенстве в Москве по очкам (пять:девять) уступил в четвертьфинале венгру Йозефу Дармошу.
Длина корпуса несколько превышает высоту в холке (10:9).,Длина корпуса несколько превышает высоту в холке (десять:девять).
"ГАЗЕТА «НОВАЯ НЕДЕЛЯ», ВЫПУСК 24.08.2012","ГАЗЕТА «НОВАЯ НЕДЕЛЯ», ВЫПУСК двадцать четвёртого августа две тысячи двенадцатого года"
Смещение применяемого времени относительно UTC составляет +9:00.,Смещение применяемого времени относительно UTC составляет +девять часов ноль минут.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Постановлением Госстандарта России от 27.12.1995 N 640),Постановлением Госстандарта России от двадцать седьмого декабря тысяча девятьсот девяносто пятого года N шестьсот сорок)
Мирсаид Ардуанов скончался 19.04.1959 г.,Мирсаид Ардуанов скончался девятнадцатого апреля тысяча девятьсот пятьдесят девятого года г.
"Его новая команда «Депортес Толима» проигрывала дома «Онсе Кальдасу» со счётом 0:3, и главный тренер «Толимы» Альберто Гамеро выпустил Ибаргуэна на 68-й минуте, и уже через пять минут тот отметился забитым голом.","Его новая команда «Депортес Толима» проигрывала дома «Онсе Кальдасу» со счётом ноль:три, и главный тренер «Толимы» Альберто Гамеро выпустил Ибаргуэна на шестьдесят восьмой минуте, и уже через пять минут тот отметился забитым голом."
"«Депортес Толима» сумела сравнять счёт в этой встрече, завершившейся 3:3.","«Депортес Толима» сумела сравнять счёт в этой встрече, завершившейся три:три."
Медаль «Золотая Звезда» (10.04.1945);,Медаль «Золотая Звезда» (десятого апреля тысяча девятьсот сорок пятого года);
орден Ленина (10.04.1945);,орден Ленина (десятого апреля тысяча девятьсот сорок пятого года);
орден Красной Звезды (15.05.1945);,орден Красной Звезды (пятнадцатого мая тысяча девятьсот сорок пятого года);
24.05.2005  (неопр.).,двадцать четвёртого мая две тысячи пятого года  (неопр.).
Полковник Растворов // Совершенно секретно 01.12.2010,Полковник Растворов // Совершенно секретно первого декабря две тысячи десятого года
"История предателя: ""Он до конца жизни страдал манией преследования"" 21.12.2018","История предателя: ""Он до конца жизни страдал манией преследования"" двадцать первого декабря две тысячи восемнадцатого года"
"Алексей Кириченко, Юрий Тотров Таинственный беглец // Совершенно секретно 01.04.2004","Алексей Кириченко, Юрий Тотров Таинственный беглец // Совершенно секретно первого апреля две тысячи четвёртого года"
орден Ленина (15.11.1950),орден Ленина (пятнадцатого ноября тысяча девятьсот пятидесятого года)
"пять орденов Красного Знамени (24.04.1940,  26.06.1944,   03.11.1944, 19.07.1945, 30.04.1954)","пять орденов Красного Знамени (двадцать четвёртого апреля тысяча девятьсот сорокового года,  двадцать шестого июня тысяча девятьсот сорок четвёртого года,   третьего ноября тысяча девятьсот сорок четвёртого года, девятнадцатого июля тысяча девятьсот сорок пятого года, тридцатого апреля тысяча девятьсот пятьдесят четвёртого года)"
орден Ушакова II степени (04.01.1945),орден Ушакова Второй степени (четвёртого января тысяча девятьсот сорок пятого года)
орден  Отечественной войны I степени (30.04.1944),орден  Отечественной войны Первой степени (тридцатого апреля тысяча девятьсот сорок четвёртого года)
"Там его с лёгкостью обыграл Джон Ньюкомб — матч закончился со счётом 6:3, 6:1, 6:1 в пользу австралийца; возможно, что на столь односторонний результат повлияло то, что Бунгерт был измотан тремя подряд пятисетовыми матчами, сыгранными на пути в финал.","Там его с лёгкостью обыграл Джон Ньюкомб — матч закончился со счётом шесть:три, шесть:один, шесть:один в пользу австралийца; возможно, что на столь односторонний результат повлияло то, что Бунгерт был измотан тремя подряд пятисетовыми матчами, сыгранными на пути в финал."
"Наконец, в 1970 году немцы, в третий раз столкнувшись с Индией в межзональном турнире, одержали убедительную победу со счётом 5:0, а затем в межзональном финале одолели команду Испании, за которую выступали два Маноло — Сантана и Орантес.","Наконец, в тысяча девятьсот семидесятом году немцы, в третий раз столкнувшись с Индией в межзональном турнире, одержали убедительную победу со счётом пять:ноль, а затем в межзональном финале одолели команду Испании, за которую выступали два Маноло — Сантана и Орантес."
"Первый официальный матч он провёл 10 февраля 2018 года против Канады, также выйдя на замену: его команда победила со счётом 29:10, победив второй год подряд на чемпионате двух Америк.","Первый официальный матч он провёл десятого февраля две тысячи восемнадцатого года против Канады, также выйдя на замену: его команда победила со счётом двадцать девять:десять, победив второй год подряд на чемпионате двух Америк."
"Под его руководством команда занимает в чемпионате 5-е место, а также пробивается в финал Кубка, где уступает 1:2 аштаракской «Мике».","Под его руководством команда занимает в чемпионате пятое место, а также пробивается в финал Кубка, где уступает один:два аштаракской «Мике»."
"В 2002 году команда в очередной раз доходит до финального поединка в кубке страны, где она опять проигрывает со счётом 0:2, на этот раз «Пюнику» Ереван, и занимает итоговое 7-е место в турнирной таблице чемпионата.","В две тысячи втором году команда в очередной раз доходит до финального поединка в кубке страны, где она опять проигрывает со счётом ноль:два, на этот раз «Пюнику» Ереван, и занимает итоговое седьмое место в турнирной таблице чемпионата."
Не открывается 28.12.2017,Не открывается двадцать восьмого декабря две тысячи семнадцатого года
Не открывается 28.12.2017,Не открывается двадцать восьмого декабря две тысячи семнадцатого года
формат 4:3,формат четыре к трем
Указом Президиума ВС СССР от 05.11.1931 награждена орденом Красного Знамени.,Указом Президиума ВС СССР от пятого ноября тысяча девятьсот тридцать первого года награждена орденом Красного Знамени.
с 26.11.1941 по 16.02.1942,с двадцать шестого ноября тысяча девятьсот сорок первого года по шестнадцатое февраля тысяча девятьсот сорок второго года
с 17.07.1942 по 23.01.1943,с семнадцатого июля тысяча девятьсот сорок второго года по двадцать третье января тысяча девятьсот сорок третьего года
с 12.02.1943 по 30.04.1943,с двенадцатого февраля тысяча девятьсот сорок третьего года по тридцатое апреля тысяча девятьсот сорок третьего года
с 18.07.1943 по 09.05.1945,с восемнадцатого июля тысяча девятьсот сорок третьего года по девятое мая тысяча девятьсот сорок пятого года
с 26.11.1941 по 16.02.1942 — 2-й гвардейский кавалерийский корпус,с двадцать шестого ноября тысяча девятьсот сорок первого года по шестнадцатое февраля тысяча девятьсот сорок второго года — 2-й гвардейский кавалерийский корпус
на 01.10.1943 — 2-й гвардейский кавалерийский корпус — Брянский фронт,на первое октября тысяча девятьсот сорок третьего года — второй гвардейский кавалерийский корпус — Брянский фронт
на 01.11.1943 — 2-й гвардейский кавалерийский корпус — 65-я армия- Белорусский фронт,на первое ноября тысяча девятьсот сорок третьего года — второй гвардейский кавалерийский корпус — 65-я армия- Белорусский фронт
на 01.12.1943 — 2-й гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт,на первое декабря тысяча девятьсот сорок третьего года — второй гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт
на 01.01.1944 — 2-й гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт,на первое января тысяча девятьсот сорок четвёртого года — второй гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт
на 01.02.1944 — 2-й гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт,на первое февраля тысяча девятьсот сорок четвёртого года — второй гвардейский кавалерийский корпус — 61-я армия — Белорусский фронт
на 01.03.1944 — 2-й гвардейский кавалерийский корпус — 61-я армия — 2-й Белорусский фронт,на первое марта тысяча девятьсот сорок четвёртого года — второй гвардейский кавалерийский корпус — 61-я армия — 2-й Белорусский фронт
на 01.04.1944 — 2-й гвардейский кавалерийский корпус — 2-й Белорусский фронт,на первое апреля тысяча девятьсот сорок четвёртого года — второй гвардейский кавалерийский корпус — второй Белорусский фронт
"07.02.1936 — 24.10.1937 Кузнецов, Фёдор Алексеевич, полковник, с 17.02.36 г. комбриг","седьмого февраля тысяча девятьсот тридцать шестого года — двадцать четвёртого октября тысяча девятьсот тридцать седьмого года Кузнецов, Фёдор Алексеевич, полковник, с семнадцатого февраля тридцать шестого г. комбриг"
"13.02.1938 — 17.01.1941 Шапкин, Тимофей Тимофеевич, генерал-лейтенант","тринадцатого февраля тысяча девятьсот тридцать восьмого года — семнадцатого января тысяча девятьсот сорок первого года Шапкин, Тимофей Тимофеевич, генерал-лейтенант"
"17.01.1941 — 28.11.1941 Ставенков, Анатолий Васильевич, полковник","семнадцатого января тысяча девятьсот сорок первого года — двадцать восьмого ноября тысяча девятьсот сорок первого года Ставенков, Анатолий Васильевич, полковник"
"29.11.1941 — 18.12.1941 Тавлиев, Михаил Петрович, подполковник","двадцать девятого ноября тысяча девятьсот сорок первого года — восемнадцатого декабря тысяча девятьсот сорок первого года Тавлиев, Михаил Петрович, подполковник"
"19.12.1941 — 20.03.1942 Арсеньев, Евгений Петрович, полковник","девятнадцатого декабря тысяча девятьсот сорок первого года — двадцатого марта тысяча девятьсот сорок второго года Арсеньев, Евгений Петрович, полковник"
"21.03.1942 — 13.10.1945 Курсаков, Павел Трофимович, полковник, с 22.02.1943 генерал-майор","двадцать первого марта тысяча девятьсот сорок второго года — тринадцатого октября тысяча девятьсот сорок пятого года Курсаков, Павел Трофимович, полковник, с двадцать второго февраля тысяча девятьсот сорок третьего года генерал-майор"
Указ Президиума Верховного Совета СССР от 24.03.1945 года.,Указ Президиума Верховного Совета СССР от двадцать четвёртого марта тысяча девятьсот сорок пятого года.
Свой первый матч за сборную он сыграл 9 апреля 1967 года против Буркина-Фасо (победа 3:1).,Свой первый матч за сборную он сыграл девятого апреля тысяча девятьсот шестьдесят седьмого года против Буркина-Фасо (победа три:один).
Свой последний матч он провёл 23 марта 1969 года против Марокко (поражение 1:0).,Свой последний матч он провёл двадцать третьего марта тысяча девятьсот шестьдесят девятого года против Марокко (поражение один:ноль).
"Дважды Герой Советского Союза (26.10.1944, 18.08.1945).","Дважды Герой Советского Союза (двадцать шестого октября тысяча девятьсот сорок четвёртого года, восемнадцатого августа тысяча девятьсот сорок пятого года)."
Маршал авиации (29.04.1975).,Маршал авиации (двадцать девятого апреля тысяча девятьсот семьдесят пятого года).
"Заслуженный военный лётчик СССР (17.08.1970), доктор военных наук, профессор (1968).","Заслуженный военный лётчик СССР (семнадцатого августа тысяча девятьсот семидесятого года), доктор военных наук, профессор (тысяча девятьсот шестьдесят восьмой)."
младший лейтенант (12.02.1943),младший лейтенант (двенадцатого февраля тысяча девятьсот сорок третьего года)
лейтенант (24.06.1943),лейтенант (двадцать четвёртого июня тысяча девятьсот сорок третьего года)
капитан (11.08.1944),капитан (одиннадцатого августа тысяча девятьсот сорок четвёртого года)
майор (14.08.1948),майор (четырнадцатого августа тысяча девятьсот сорок восьмого года)
подполковник (23.06.1951),подполковник (двадцать третьего июня тысяча девятьсот пятьдесят первого года)
генерал-лейтенант авиации (16.06.1965),генерал-лейтенант авиации (шестнадцатого июня тысяча девятьсот шестьдесят пятого года)
генерал-полковник авиации (21.02.1969),генерал-полковник авиации (двадцать первого февраля тысяча девятьсот шестьдесят девятого года)
маршал авиации (29.04.1975),маршал авиации (двадцать девятого апреля тысяча девятьсот семьдесят пятого года)
Орден «За заслуги перед Отечеством» II степени (21.02.2008),Орден «За заслуги перед Отечеством» второй степени (двадцать первого февраля две тысячи восьмого года)
Орден Октябрьской Революции (19.02.1988),Орден Октябрьской Революции (девятнадцатого февраля тысяча девятьсот восемьдесят восьмого года)
"5 орденов Красного Знамени (29.05.1943, 21.02.1944, 24.10.1944, 21.02.1969)","Пять орденов Красного Знамени (двадцать девятого мая тысяча девятьсот сорок третьего года, двадцать первого февраля тысяча девятьсот сорок четвёртого года, двадцать четвёртого октября тысяча девятьсот сорок четвёртого года, двадцать первого февраля тысяча девятьсот шестьдесят девятого года)"
Орден Красной Звезды (30.12.1956),Орден Красной Звезды (тридцатого декабря тысяча девятьсот пятьдесят шестого года)
Орден «За службу Родине в Вооружённых Силах СССР» III степени (17.02.1976),Орден «За службу Родине в Вооружённых Силах СССР» третьей степени (семнадцатого февраля тысяча девятьсот семьдесят шестого года)
Заслуженный военный лётчик СССР (17.08.1970),Заслуженный военный лётчик СССР (семнадцатого августа тысяча девятьсот семидесятого года)
"1:1—17), апостольское — так же то, которое читается во время пасхальной литургии (Деян.","один:один—семнадцать), апостольское — так же то, которое читается во время пасхальной литургии (Деян."
1:1—8).,один:один—восемь).
"5 мифов о фантастических существах // ПостНаука, 31.10.2014","Пять мифов о фантастических существах // ПостНаука, тридцать первого октября две тысячи четырнадцатого года"
"Кого хоронили в «могилах вампиров» // Lenta.ru, 26.08.2014","Кого хоронили в «могилах вампиров» // Lenta.ru, двадцать шестого августа две тысячи четырнадцатого года"
22.10.2007 В память о военачальнике РВСН (недоступная ссылка),двадцать второго октября две тысячи седьмого года В память о военачальнике РВСН (недоступная ссылка)
"Краткая история развития пожарной охраны России // АиФ, 30.04.2014","Краткая история развития пожарной охраны России // АиФ, тридцатого апреля две тысячи четырнадцатого года"
"6 июня, 12:30 UTC — одновременно начались первые матчи отборочного турнира: сборная Лаоса уступила сборной Бангладеш со счетом 0:1; сборная Макао переиграла Шри-Ланку 1:0.","Шестого июня, двенадцать часов тридцать минут UTC — одновременно начались первые матчи отборочного турнира: сборная Лаоса уступила сборной Бангладеш со счетом ноль:один; сборная Макао переиграла Шри-Ланку один:ноль."
7 июня — Сборная Малайзии разгромила Восточный Тимор 7:1.,Седьмого июня — Сборная Малайзии разгромила Восточный Тимор семь:один.
"11 июня — в 6:15 UTC стартовал матч между сборной Гуама и сборной Бутана (5:0) по итогам которого Бутан стал первой сборной, покинувшей турнир .","Одиннадцатого июня — в шесть часов пятнадцать минут UTC стартовал матч между сборной Гуама и сборной Бутана (пять:ноль) по итогам которого Бутан стал первой сборной, покинувшей турнир ."
4 сентября в 14:00 UTC стартовали первые 2 матча в Африке (Сборная Эфиопии против сборной Лесото и сборная Эритреи против сборной Намибии).,Четвертого сентября в четырнадцать часов ноль минут UTC стартовали первые два матча в Африке (Сборная Эфиопии против сборной Лесото и сборная Эритреи против сборной Намибии).
"10 сентября — Сборная Руанды разгромила сборную Сейшел 7:0, игроки Кагере и Туйисенге первыми оформили по дублю.","Десятого сентября — Сборная Руанды разгромила сборную Сейшел семь:ноль, игроки Кагере и Туйисенге первыми оформили по дублю."
Итоги матча «Соломоновы Острова — Острова Кука» (2:0) были аннулированы.,Итоги матча «Соломоновы Острова — Острова Кука» (два:ноль) были аннулированы.
Соломоновы Острова победили со счётом 3:1 и выиграли группу.,Соломоновы Острова победили со счётом три:один и выиграли группу.
"После матча между АНТЕЛ и «Агилой», который закончился со счётом 3:1 в пользу команды Гонсалеса, спортивный комментатор Росалио Эрнандес Колорадо назвал его «волшебником» (Эль Маго).","После матча между АНТЕЛ и «Агилой», который закончился со счётом три:один в пользу команды Гонсалеса, спортивный комментатор Росалио Эрнандес Колорадо назвал его «волшебником» (Эль Маго)."
"После выездной ничьи 1:1 ФАС уверенно обыграл соперника на своём поле со счётом 7:1, Гонсалес оформил дубль.","После выездной ничьи один:один ФАС уверенно обыграл соперника на своём поле со счётом семь:один, Гонсалес оформил дубль."
"Однако в Межамериканском кубке ФАС уступил обладателю Кубка Либертадорес, парагвайской «Олимпии», с общим счётом 8:3.","Однако в Межамериканском кубке ФАС уступил обладателю Кубка Либертадорес, парагвайской «Олимпии», с общим счётом восемь:три."
"Хорхе не явился вовремя на игру, не смог выйти в стартовом составе и появился на поле после первого тайма, когда счёт был 3:0 в пользу каталонцев.","Хорхе не явился вовремя на игру, не смог выйти в стартовом составе и появился на поле после первого тайма, когда счёт был три:ноль в пользу каталонцев."
"В этой игре он забил два гола и отдал две результативные передачи, в результате чего андалузская команда выиграла со счётом 4:3.","В этой игре он забил два гола и отдал две результативные передачи, в результате чего андалузская команда выиграла со счётом четыре:три."
"Кроме того, в следующем сезоне клуб дошёл до полуфинала Кубка Испании, где уступил мадридскому «Реалу» с общим счётом 4:0.","Кроме того, в следующем сезоне клуб дошёл до полуфинала Кубка Испании, где уступил мадридскому «Реалу» с общим счётом четыре:ноль."
"В следующем сезоне клуб дошёл до финала, а через год всё-таки стал чемпионом, обыграв в финале «Луис Анхель Фирпо» с общим счётом 4:3.","В следующем сезоне клуб дошёл до финала, а через год всё-таки стал чемпионом, обыграв в финале «Луис Анхель Фирпо» с общим счётом четыре:три."
"Фаворитом была Мексика, однако 6 ноября Сальвадор неожиданно одержал победу над более именитым соперником со счётом 1:0.","Фаворитом была Мексика, однако шестого ноября Сальвадор неожиданно одержал победу над более именитым соперником со счётом один:ноль."
"Этот чемпионат мира был всего вторым в истории сборной Сальвадора, Гонсалес сыграл во всех трёх матчах группового этапа, в том числе против Венгрии, которая обыграла Сальвадор со счётом 10:1.","Этот чемпионат мира был всего вторым в истории сборной Сальвадора, Гонсалес сыграл во всех трёх матчах группового этапа, в том числе против Венгрии, которая обыграла Сальвадор со счётом десять:один."
"На этом турнире 9 февраля он сыграл свой последний матч за сборную против команды Ямайки, Сальвадор проиграл со счётом 2:0, в итоге набрав лишь одно очко на групповом этапе и покинув турнир.","На этом турнире девятого февраля он сыграл свой последний матч за сборную против команды Ямайки, Сальвадор проиграл со счётом два:ноль, в итоге набрав лишь одно очко на групповом этапе и покинув турнир."
Сборная Уругвая одержала уверенную гостевую победу со счётом 3:1.,Сборная Уругвая одержала уверенную гостевую победу со счётом три:один.
«Тихуана» выиграла со счётом 2:0.,«Тихуана» выиграла со счётом два:ноль.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Протокол допроса Б. М. Фельдмана от 19.05.1937  (неопр.). alexanderyakovlev.org.,Протокол допроса Б. М. Фельдмана от девятнадцатого мая тысяча девятьсот тридцать седьмого года  (неопр.). alexanderyakovlev.org.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Указом Президиума Верховного Совета СССР от 29.03.1945 г. за участие в разгроме одиннадцати дивизий противника юго-западнее г. Будапешт и взятии г. Мор дивизия награждена орденом Кутузова II степени.,Указом Президиума Верховного Совета СССР от двадцать девятого марта тысяча девятьсот сорок пятого года г. за участие в разгроме одиннадцати дивизий противника юго-западнее г. Будапешт и взятии г. Мор дивизия награждена орденом Кутузова второй степени.
Указом Президиума Верховного Совета СССР от 26.04.1945 г. «за участие во взятии г. Вены» дивизия награждена орденом Красного Знамени.,Указом Президиума Верховного Совета СССР от двадцать шестого апреля тысяча девятьсот сорок пятого года г. «за участие во взятии г. Вены» дивизия награждена орденом Красного Знамени.
(газета «Красная Звезда» 31.08.2010),(газета «Красная Звезда» тридцать первого августа две тысячи десятого года)
епископ Paternus Nicholas Joannes Cornelius Geise OFM(17.12.1948 — 30.01.1975);,епископ Paternus Nicholas Joannes Cornelius Geise OFM(семнадцатого декабря тысяча девятьсот сорок восьмого года — тридцатого января тысяча девятьсот семьдесят пятого года);
епископ Ignatius Harsono (30.01.1975 — 17.07.1993);,епископ Ignatius Harsono (тридцатого января тысяча девятьсот семьдесят пятого года — семнадцатого июля тысяча девятьсот девяносто третьего года);
епископ Cosmas Michael Angkur OFM (10.06.1994 — 21.11.2013);,епископ Cosmas Michael Angkur OFM (десятого июня тысяча девятьсот девяносто четвёртого года — двадцать первого ноября две тысячи тринадцатого года);
епископ Paskalis Bruno Syukur OFM (21.11.2013 — по настоящее время).,епископ Paskalis Bruno Syukur OFM (двадцать первого ноября две тысячи тринадцатого года — по настоящее время).
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
Распоряжением Совета Администрации Красноярского края от 12.07.2005 № 837-р исключено село Дворец.,Распоряжением Совета Администрации Красноярского края от двенадцатого июля две тысячи пятого года № восемьсот тридцать семь-р исключено село Дворец.
Дата формирования: 23.09.2020.,Дата формирования: двадцать третьего сентября две тысячи двадцатого года.
Дата избрания 28.04.2019.,Дата избрания двадцать восьмого апреля две тысячи девятнадцатого года.
орден Трудового Красного Знамени (02.04.1966),орден Трудового Красного Знамени (второго апреля тысяча девятьсот шестьдесят шестого года)
орден «Знак Почёта» (22.03.1936),орден «Знак Почёта» (двадцать второго марта тысяча девятьсот тридцать шестого года)
Смещение применяемого времени относительно UTC составляет +3:00.,Смещение применяемого времени относительно UTC составляет +три часа ноль минут.
В соответствии со ст.,В соответствии со ст.
— 18.05.2012.,— восемнадцатого мая две тысячи двенадцатого года.
